"","area","week","x"
"1",1,1,3895.02175914422
"2",2,1,9726.00300146085
"3",3,1,4779.4720494911
"4",4,1,6090.72463709191
"5",5,1,12644.4760126307
"6",6,1,15698.4189735915
"7",7,1,24120.2252438487
"8",8,1,25673.951653221
"9",9,1,12708.0792010818
"10",10,1,13698.8658833704
"11",11,1,9526.07605858536
"12",12,1,4838.64318982786
"13",13,1,6805.85915625366
"14",14,1,4215.8766397487
"15",15,1,1146.86610024458
"16",16,1,775.506399575156
"17",1,2,3851.68746923718
"18",2,2,9752.30244127255
"19",3,2,4754.37294505917
"20",4,2,5999.81178158714
"21",5,2,12518.6392276951
"22",6,2,15649.7487712364
"23",7,2,24004.2738962833
"24",8,2,25794.3963911298
"25",9,2,12589.8372094911
"26",10,2,13587.0883376615
"27",11,2,9382.80133979153
"28",12,2,4777.05961801107
"29",13,2,6739.80272255305
"30",14,2,4179.04548674935
"31",15,2,1142.26488732356
"32",16,2,774.465674146927
"33",1,3,3810.15624480571
"34",2,3,9775.82125918132
"35",3,3,4732.24338659258
"36",4,3,5915.30700795275
"37",5,3,12401.1558244323
"38",6,3,15596.8896697824
"39",7,3,23871.8127261267
"40",8,3,25907.1104497035
"41",9,3,12480.0521664675
"42",10,3,13488.7870859478
"43",11,3,9245.31061524891
"44",12,3,4714.63895759042
"45",13,3,6677.02451244617
"46",14,3,4140.72780326843
"47",15,3,1137.39633744514
"48",16,3,773.189786734355
"49",1,4,3770.80704101598
"50",2,4,9797.67203154853
"51",3,4,4713.58689097119
"52",4,4,5838.04717899327
"53",5,4,12293.1277174711
"54",6,4,15541.3953482882
"55",7,4,23726.584922829
"56",8,4,26010.4805773401
"57",9,4,12380.0622890334
"58",10,4,13404.9915768584
"59",11,4,9115.09808023456
"60",12,4,4653.00026043185
"61",13,4,6618.26756271041
"62",14,4,4101.62596581904
"63",15,4,1132.30555759662
"64",16,4,771.798422641008
"65",1,5,3734.18352049924
"66",2,5,9817.4786591968
"67",3,5,4698.43662970669
"68",4,5,5768.91062380205
"69",5,5,12196.5313584317
"70",6,5,15484.021887747
"71",7,5,23570.5015486667
"72",8,5,26104.8195690926
"73",9,5,12291.7717536002
"74",10,5,13337.2156898232
"75",11,5,8993.33740821567
"76",12,5,4592.75217065535
"77",13,5,6564.19228813189
"78",14,5,4061.9337346865
"79",15,5,1127.30869241967
"80",16,5,769.792924905118
"81",1,6,3700.74370805549
"82",2,6,9835.93296000248
"83",3,6,4687.15353776355
"84",4,6,5709.01375093935
"85",5,6,12112.1598862377
"86",6,6,15426.5768623138
"87",7,6,23407.5003198274
"88",8,6,26190.343599741
"89",9,6,12215.9891291852
"90",10,6,13285.7617548232
"91",11,6,8882.26011790688
"92",12,6,4535.01407463941
"93",13,6,6515.44646030972
"94",14,6,4022.70400844078
"95",15,6,1121.93670269747
"96",16,6,767.997203501046
"97",1,7,3670.82759644937
"98",2,7,9852.89054939888
"99",3,7,4680.51083912075
"100",4,7,5658.79075973872
"101",5,7,12041.2600868267
"102",6,7,15370.3870675062
"103",7,7,23239.9867163564
"104",8,7,26267.900764408
"105",9,7,12153.7030290958
"106",10,7,13252.0469209315
"107",11,7,8783.21193838578
"108",12,7,4480.10570437965
"109",13,7,6472.86058308949
