month,sizeclass,mean_weight_month,mean_lengte_month
1,1,1023.0491462,45.350946911
2,1,946.34784433,45.289126288
3,1,899.69215259,45.314059946
4,1,951.45079365,45.663492063
5,1,945.09905213,45.112796209
6,1,967.83481481,44.362962963
7,1,989.08125,44.751041667
8,1,1000.6121212,45.164646465
9,1,1107.0835616,45.705022831
10,1,1026.5064815,44.32037037
11,1,1138.9395973,45.503691275
12,1,1210.5221519,46.546835443
1,2,616.27840837,38.671369689
2,2,579.95838488,38.671237113
3,2,561.24928789,38.796897253
4,2,588.6304878,38.88902439
5,2,595.776,38.371272727
6,2,615.82429379,37.989265537
7,2,620.65459184,38.124489796
8,2,610.05070423,37.934741784
9,2,674.9132,38.5628
10,2,664.97203791,38.371563981
11,2,679.10607143,38.6075
12,2,639.97068966,38.007471264
1,3,410.81422959,33.91767787
2,3,390.51272643,33.850998607
3,3,387.52707889,34.016915423
4,3,398.84495413,34.16146789
5,3,384.10421687,32.818674699
6,3,395.52847222,32.613194444
7,3,398.22048193,33.031927711
8,3,410.37283237,33.14566474
9,3,436.37391304,33.505217391
10,3,452.67655502,33.916746411
11,3,433.91187215,33.524657534
12,3,431.75194805,33.497402597
1,4,288.42258772,29.929824561
2,4,285.98910935,30.162213404
3,4,275.90344619,29.977992745
4,4,275.15347222,29.672222222
5,4,269.96923077,28.926315789
6,4,294.66688312,29.487012987
7,4,280.25769231,29.407692308
8,4,290.68333333,29.402688172
9,4,290.81756272,29.449103943
10,4,315.03606557,29.573360656
11,4,308.00224359,29.969871795
12,4,291.23235955,29.37258427
