month,sizeclass,mean_weight_month,mean_lengte_month
1,1,774.18582677,41.307874016
2,1,789.67920792,41.212871287
3,1,766.16852792,41.414213198
4,1,745.01975104,41.313195021
5,1,684.38058252,41.456534727
6,1,624.43061481,41.20476788
7,1,620.32941176,40.952941176
8,1,660.63111111,41.607777778
9,1,685.23265306,40.718367347
10,1,694.50847458,40.774576271
11,1,731.328,40.801
12,1,686.53,39.3675
1,2,482.26976744,35.820930233
2,2,460.96161616,35.533333333
3,2,471.99605911,35.914778325
4,2,447.23330665,35.601841473
5,2,422.12830189,35.753483309
6,2,395.97264151,35.558962264
7,2,390.28888889,35.377777778
8,2,398.08888889,35.094444444
9,2,435.825,35.321875
10,2,459.16,35.84
11,2,478.93061224,35.567346939
12,2,450.84675325,34.88961039
1,3,311.76,31.696153846
2,3,307.27272727,31.675757576
3,3,293.70877193,31.481140351
4,3,294.36039604,31.614927647
5,3,289.50697674,31.738081395
6,3,279.51892497,31.602575588
7,3,270.99428571,31.427142857
8,3,293.18651685,31.543820225
9,3,303.87226891,31.009243697
10,3,314.29152542,32.008474576
11,3,320.632,31.795
12,3,324.03428571,31.581428571
1,4,224.62362205,28.825984252
2,4,228.70545455,29.005454545
3,4,214.00199005,28.491542289
4,4,211.11839258,28.576043277
5,4,210.42280946,28.776495132
6,4,207.03229947,28.680641711
7,4,208.59428571,28.831428571
8,4,220.36444444,29.027777778
9,4,226.28965517,28.244827586
10,4,231.26779661,28.720338983
11,4,238.68,28.794
12,4,226.72,28.596666667
1,5,155.66984127,25.838888889
2,5,155.31962617,25.800934579
3,5,152.25177665,25.818274112
4,5,151.36013571,25.878286684
5,5,151.02307692,25.993491124
6,5,149.23109354,25.885902503
7,5,142.03428571,25.821428571
8,5,148.72,25.438888889
9,5,170.69,26.00875
10,5,161.89333333,25.908333333
11,5,163.8,25.718
12,5,164.14666667,25.973333333
