"","sizeclass","data","area","season"
"1",1,102.046790023114,"1",1
"836",2,83.6562563727432,"1",1
"1668",3,29.835118563605,"1",1
"2499",4,17.015713849214,"1",1
"3331",5,64.9563266831468,"1",1
"418",1,98.8766311848291,"2",1
"1251",2,132.699484654436,"2",1
"2083",3,75.7173278418678,"2",1
"2915",4,52.5658132204352,"2",1
"3746",5,168.649513109851,"2",1
"471",1,107.51251741595,"3",1
"1304",2,129.487858894539,"3",1
"2135",3,62.2742329308359,"3",1
"2968",4,36.0405763378376,"3",1
"3800",5,101.021305016733,"3",1
"524",1,93.1465414273405,"4",1
"1355",2,59.0873764448713,"4",1
"2187",3,16.9334173850799,"4",1
"3018",4,7.96533645309345,"4",1
"3851",5,25.0731100248553,"4",1
"575",1,72.5509516334385,"5",1
"1407",2,58.8986700775176,"5",1
"2238",3,23.3521120281972,"5",1
"3071",4,15.2226349455812,"5",1
"3904",5,61.5768157030641,"5",1
"627",1,77.509826892006,"6",1
"1460",2,90.588136125242,"6",1
"2292",3,70.034762581393,"6",1
"3124",4,80.789068873537,"6",1
"3955",5,371.301334642244,"6",1
"679",1,52.7012672532103,"7",1
"1510",2,38.2437246788221,"7",1
"2343",3,21.0641617876833,"7",1
"3175",4,18.5987990777909,"7",1
"4007",5,63.2252806402429,"7",1
"730",1,40.6650604159208,"8",1
"1563",2,47.9831736453156,"8",1
"2396",3,30.2874851441968,"8",1
"3227",4,31.7268079531461,"8",1
"4059",5,190.821801098654,"8",1
"784",1,83.4295696823576,"9",1
"1615",2,38.2176461184435,"9",1
"2448",3,38.9768767822738,"9",1
"3279",4,79.1078371031505,"9",1
"4110",5,287.678120677328,"9",1
"55",1,95.0825059731748,"10",1
"887",2,50.0606447779485,"10",1
"1719",3,16.9799013626144,"10",1
"2550",4,10.5310339721955,"10",1
"3383",5,35.802506871834,"10",1
"107",1,90.5702415604229,"11",1
"940",2,65.0601454733878,"11",1
"1772",3,27.4335193438175,"11",1
"2604",4,18.9907380221974,"11",1
"3435",5,67.7256030386572,"11",1
"160",1,112.894244016787,"12",1
"991",2,28.9913502250994,"12",1
"1822",3,8.3350130125857,"12",1
"2655",4,8.74048276729654,"12",1
"3487",5,78.1081276600869,"12",1
"211",1,76.5384736806618,"13",1
"1042",2,39.9404712819314,"13",1
"1875",3,14.0036649942862,"13",1
"2707",4,7.69853645781245,"13",1
"3540",5,17.8297657193665,"13",1
"264",1,233.785349472177,"14",1
"1096",2,106.665766639112,"14",1
"1927",3,26.0644251857425,"14",1
"2760",4,10.6001691925963,"14",1
"3591",5,24.8261922779649,"14",1
"2",1,101.660786446119,"1",2
"834",2,91.1080472840485,"1",2
"1666",3,33.863035899732,"1",2
"2500",4,18.6048969303947,"1",2
"3332",5,64.0878707472969,"1",2
"420",1,96.6241299749368,"2",2
"1252",2,131.620129389556,"2",2
"2084",3,76.0783709614294,"2",2
"2916",4,52.8742720257863,"2",2
"3748",5,167.284210600371,"2",2
"472",1,108.407046984759,"3",2
"1302",2,131.078317820679,"3",2
"2133",3,63.752235575677,"3",2
"2966",4,36.7996050035261,"3",2
"3798",5,100.110912616691,"3",2
"522",1,98.3488055972076,"4",2
"1356",2,61.2035834309832,"4",2
"2188",3,17.2210322583575,"4",2
"3020",4,7.98673593501545,"4",2
"3852",5,24.9165705811893,"4",2
"576",1,76.3742145940362,"5",2
"1408",2,60.9795026356287,"5",2
"2240",3,23.7197047997039,"5",2
"3072",4,15.1149636921042,"5",2
"3902",5,59.6043898009007,"5",2
"625",1,81.4624982955229,"6",2
"1458",2,91.7774442496131,"6",2
"2290",3,70.4595065152159,"6",2
"3122",4,81.8317811833534,"6",2
"3956",5,374.931213756696,"6",2
"680",1,55.0986813758655,"7",2
"1512",2,39.2005990253188,"7",2
"2344",3,21.6228948732339,"7",2
"3176",4,19.0018861124338,"7",2
"4008",5,62.3794020300316,"7",2
"732",1,40.8703072158401,"8",2
"1564",2,48.2239900977553,"8",2
"2394",3,30.37920193511,"8",2
"3225",4,31.5980665086759,"8",2
"4060",5,187.689324000339,"8",2
"783",1,80.5796929461044,"9",2
"1613",2,35.4471785537231,"9",2
"2446",3,36.7578853905712,"9",2
"3280",4,76.3103686036844,"9",2
"4112",5,270.403563115237,"9",2
"56",1,102.150686960098,"10",2
"888",2,51.8198095817959,"10",2
"1720",3,17.473030172637,"10",2
"2552",4,10.7745338089916,"10",2
"3384",5,35.3059356996177,"10",2
"108",1,95.5979176431814,"11",2
"938",2,65.5959129581101,"11",2
"1770",3,27.1925910299184,"11",2
"2602",4,18.6407397241096,"11",2
"3433",5,64.63150608162,"11",2
"158",1,115.939106809816,"12",2
"992",2,29.2326672038955,"12",2
"1824",3,8.12578448042688,"12",2
"2656",4,8.34736438829187,"12",2
"3488",5,75.6215904294416,"12",2
"212",1,78.0219235007041,"13",2
"1044",2,40.1498289932848,"13",2
"1876",3,13.8924845649209,"13",2
"2708",4,7.53171823793779,"13",2
"3538",5,17.170565565632,"13",2
"262",1,235.02762326967,"14",2
"1094",2,106.360531928815,"14",2
"1925",3,25.8081210378017,"14",2
"2758",4,10.4412312431774,"14",2
"3592",5,24.3612922416897,"14",2
"4",1,98.5531685429976,"1",3
"835",2,97.5267217808607,"1",3
"1667",3,38.0852216198762,"1",3
"2497",4,20.1880862538836,"1",3
"3329",5,62.370137673669,"1",3
"417",1,93.5441927527075,"2",3
"1249",2,129.087461062024,"2",3
"2081",3,75.6244819761282,"2",3
"2913",4,52.7115242131562,"2",3
"3745",5,164.655440862941,"2",3
"469",1,108.070304534154,"3",3
"1303",2,131.202255332888,"3",3
"2136",3,64.7291315822238,"3",3
"2967",4,37.390519103372,"3",3
"3799",5,98.8140429701305,"3",3
"523",1,103.749400051384,"4",3
"1353",2,63.4615357573899,"4",3
"2185",3,17.5839749668416,"4",3
"3017",4,8.06507224556113,"4",3
"3849",5,24.9904398749282,"4",3
"573",1,79.497442843567,"5",3
"1405",2,62.6584869412528,"5",3
"2237",3,24.0100157102474,"5",3
"3069",4,14.9907390037887,"5",3
"3903",5,57.5891814114647,"5",3
"628",1,84.4466468144471,"6",3
"1459",2,91.7528242100395,"6",3
"2291",3,69.7863050631622,"6",3
"3123",4,81.3042310939185,"6",3
"3953",5,370.344763495645,"6",3
"677",1,57.0521121076373,"7",3
"1509",2,40.0392708083098,"7",3
"2341",3,22.1146747433674,"7",3
"3173",4,19.3511026724914,"7",3
"4005",5,61.8135068826911,"7",3
"729",1,41.0094686513355,"8",3
"1561",2,48.3619383983381,"8",3
"2395",3,30.3843549807116,"8",3
"3228",4,31.3445282365128,"8",3
"4058",5,183.585092186525,"8",3
"781",1,77.7851627185147,"9",3
"1616",2,32.9786502331891,"9",3
"2447",3,34.5459865740165,"9",3
"3277",4,72.8272890919058,"9",3
"4109",5,251.903606438999,"9",3
"53",1,107.673872391628,"10",3
"885",2,53.253384755232,"10",3
"1717",3,17.9784280957305,"10",3
"2549",4,11.0702916704953,"10",3
"3381",5,35.1376993048084,"10",3
"105",1,100.552869631154,"11",3
"939",2,66.2218732252446,"11",3
"1771",3,27.0431071133409,"11",3
"2603",4,18.3960720206271,"11",3
"3436",5,62.3201712442355,"11",3
"159",1,118.67565575117,"12",3
"989",2,29.7866392594386,"12",3
"1821",3,8.03971122797947,"12",3
"2653",4,8.05554487576321,"12",3
"3485",5,73.4454933915465,"12",3
"209",1,79.3908243223285,"13",3
"1041",2,40.6183592078806,"13",3
"1873",3,13.9229591659344,"13",3
"2705",4,7.45746956342257,"13",3
"3539",5,16.7926820253988,"13",3
"263",1,231.31605579923,"14",3
"1095",2,104.904414253982,"14",3
"1928",3,25.5307043870409,"14",3
"2759",4,10.3735973672956,"14",3
"3589",5,24.334059038107,"14",3
"3",1,93.2059101351779,"1",4
"833",2,102.673536064732,"1",4
"1665",3,42.4185443991292,"1",4
"2498",4,21.7327295724619,"1",4
"3330",5,59.9557093038899,"1",4
"419",1,89.8192317808546,"2",4
"1250",2,125.325235340587,"2",4
"2082",3,74.4386922446323,"2",4
"2914",4,52.1206872243427,"2",4
"3747",5,160.950522002885,"2",4
"470",1,106.613920591834,"3",4
"1301",2,129.970284267402,"3",4
"2134",3,65.2125242268522,"3",4
"2965",4,37.8126946889724,"3",4
"3797",5,97.1910772821968,"3",4
"521",1,109.290787588603,"4",4
"1354",2,65.8387505988333,"4",4
"2186",3,18.0167767379607,"4",4
"3019",4,8.19650703885065,"4",4
"3850",5,25.2774058169613,"4",4
"574",1,81.8566015745528,"5",4
"1406",2,63.9175877989615,"5",4
"2239",3,24.2233846198666,"5",4
"3070",4,14.8531337451732,"5",4
"3901",5,55.5696948059391,"5",4
"626",1,86.4028542993726,"6",4
"1457",2,90.6112423484001,"6",4
"2289",3,68.1384560526056,"6",4
"3121",4,79.3639147334985,"6",4
"3954",5,358.517879374861,"6",4
"678",1,58.5293425576198,"7",4
"1511",2,40.752895567047,"7",4
"2342",3,22.5351695311725,"7",4
"3174",4,19.6441658595171,"7",4
"4006",5,61.5052218630762,"7",4
"731",1,41.0856145864955,"8",4
"1562",2,48.4028236007896,"8",4
"2393",3,30.3097091886844,"8",4
"3226",4,30.9818490474928,"8",4
"4057",5,178.698976116379,"8",4
"782",1,75.0802912932942,"9",4
"1614",2,30.7940803263713,"9",4
"2445",3,32.387154205664,"9",4
"3278",4,68.8574405062522,"9",4
"4111",5,232.932552944072,"9",4
"54",1,111.456418703043,"10",4
"886",2,54.3458221299364,"10",4
"1718",3,18.4905195970175,"10",4
"2551",4,11.4149446481723,"10",4
"3382",5,35.2693018546792,"10",4
"106",1,105.364704439679,"11",4
"937",2,66.9264201086697,"11",4
"1769",3,26.978176080655,"11",4
"2601",4,18.2476508895301,"11",4
"3434",5,60.6916060456798,"11",4
"157",1,121.077991504493,"12",4
"990",2,30.6389352145245,"12",4
"1823",3,8.06445049351564,"12",4
"2654",4,7.85213157902836,"12",4
"3486",5,71.5631317311107,"12",4
"210",1,80.6338283283524,"13",4
"1043",2,41.3287514624988,"13",4
"1874",3,14.0843041505555,"13",4
"2706",4,7.4668164555532,"13",4
"3537",5,16.6621092245251,"13",4
"261",1,223.299585274784,"14",4
"1093",2,102.449361223267,"14",4
"1926",3,25.2378596350245,"14",4
"2757",4,10.3891732767733,"14",4
"3590",5,24.7084260605685,"14",4
"18",1,77.5139224880015,"1",5
"853",2,99.6231819602163,"1",5
"1685",3,44.0893854856299,"1",5
"2516",4,21.0502918044013,"1",5
"3348",5,57.5861761920746,"1",5
"435",1,76.9910116131485,"2",5
"1268",2,112.930002996172,"2",5
"2100",3,68.4769058429881,"2",5
"2932",4,46.4081577885855,"2",5
