"","sizeclass","data","area","season"
"1",1,28.7771947865182,"1",1
"836",2,23.5910642971136,"1",1
"1668",3,8.41350343493661,"1",1
"2499",4,4.79843130547834,"1",1
"3331",5,18.3176841246474,"1",1
"418",1,27.8832099941218,"2",1
"1251",2,37.4212546725509,"2",1
"2083",3,21.3522864514067,"2",1
"2915",4,14.8235593281627,"2",1
"3746",5,47.5591626969779,"2",1
"471",1,30.3185299112978,"3",1
"1304",2,36.5155762082599,"3",1
"2135",3,17.5613336864957,"3",1
"2968",4,10.1634425272702,"3",1
"3800",5,28.4880080147186,"3",1
"524",1,26.26732468251,"4",1
"1355",2,16.6626401574537,"4",1
"2187",3,4.77522370259254,"4",1
"3018",4,2.24622487977235,"4",1
"3851",5,7.07061702700921,"4",1
"575",1,20.4593683606296,"5",1
"1407",2,16.60942496186,"5",1
"2238",3,6.5852955919516,"5",1
"3071",4,4.29278305465388,"5",1
"3904",5,17.3646620282641,"5",1
"627",1,21.8577711835457,"6",1
"1460",2,25.5458543873182,"6",1
"2292",3,19.7498030479528,"6",1
"3124",4,22.7825174223374,"6",1
"3955",5,104.706976369113,"6",1
"679",1,14.8617573654053,"7",1
"1510",2,10.7847303594278,"7",1
"2343",3,5.94009362412668,"7",1
"3175",4,5.24486133993704,"7",1
"4007",5,17.8295291405485,"7",1
"730",1,11.4675470372897,"8",1
"1563",2,13.531254967979,"8",1
"2396",3,8.5410708106635,"8",1
"3227",4,8.94695984278721,"8",1
"4059",5,53.8117479098205,"8",1
"784",1,23.5271386504248,"9",1
"1615",2,10.7773762054011,"9",1
"2448",3,10.9914792526012,"9",1
"3279",4,22.3084100630885,"9",1
"4110",5,81.1252300310065,"9",1
"55",1,26.8132666844353,"10",1
"887",2,14.1171018273815,"10",1
"1719",3,4.78833218425725,"10",1
"2550",4,2.96975158015914,"10",1
"3383",5,10.0963069378572,"10",1
"107",1,25.5408081200393,"11",1
"940",2,18.3469610234954,"11",1
"1772",3,7.73625245495652,"11",1
"2604",4,5.35538812225967,"11",1
"3435",5,19.0986200569013,"11",1
"160",1,31.836176812734,"12",1
"991",2,8.17556076347803,"12",1
"1822",3,2.35047366954917,"12",1
"2655",4,2.46481614037762,"12",1
"3487",5,22.0264920001445,"12",1
"211",1,21.5838495779466,"13",1
"1042",2,11.2632129015047,"13",1
"1875",3,3.94903352838871,"13",1
"2707",4,2.17098728110311,"13",1
"3540",5,5.02799393286134,"13",1
"264",1,65.927468551154,"14",1
"1096",2,30.0797461922295,"14",1
"1927",3,7.35016790237939,"14",1
"2760",4,2.98924771231214,"14",1
"3591",5,7.00098622238609,"14",1
"2",1,28.6683417778056,"1",2
"834",2,25.6924693341017,"1",2
"1666",3,9.54937612372443,"1",2
"2500",4,5.2465809343713,"1",2
"3332",5,18.0727795507377,"1",2
"420",1,27.2480046529322,"2",2
"1252",2,37.1168764878548,"2",2
"2084",3,21.4541006111231,"2",2
"2916",4,14.9105447112717,"2",2
"3748",5,47.1741473893046,"2",2
"472",1,30.5707872497021,"3",2
"1302",2,36.9640856254314,"3",2
"2133",3,17.9781304323409,"3",2
"2966",4,10.3774886109944,"3",2
"3798",5,28.2312773579069,"3",2
"522",1,27.7343631784126,"4",2
"1356",2,17.2594105275373,"4",2
"2188",3,4.85633109685682,"4",2
"3020",4,2.25225953367436,"4",2
"3852",5,7.02647290389537,"4",2
"576",1,21.5375285155182,"5",2
"1408",2,17.1962197432473,"5",2
"2240",3,6.68895675351649,"5",2
"3072",4,4.2624197611734,"5",2
"3902",5,16.808437923854,"5",2
"625",1,22.9724245193375,"6",2
"1458",2,25.8812392783909,"6",2
"2290",3,19.8695808372909,"6",2
"3122",4,23.0765622937057,"6",2
"3956",5,105.730602279388,"6",2
"680",1,15.5378281479941,"7",2
"1512",2,11.0545689251399,"7",2
"2344",3,6.09765635425197,"7",2
"3176",4,5.35853188370633,"7",2
"4008",5,17.5909913724689,"7",2
"732",1,11.5254266348669,"8",2
"1564",2,13.599165207567,"8",2
"2394",3,8.56693494570101,"8",2
"3225",4,8.91065475544661,"8",2
"4060",5,52.9283893680955,"8",2
"783",1,22.7234734108014,"9",2
"1613",2,9.99610435214992,"9",2
"2446",3,10.3657236801411,"9",2
"3280",4,21.519523946239,"9",2
"4112",5,76.2538047984967,"9",2
"56",1,28.8064937227477,"10",2
"888",2,14.6131863020664,"10",2
"1720",3,4.92739450868365,"10",2
"2552",4,3.03841853413563,"10",2
"3384",5,9.95627386729218,"10",2
"108",1,26.9586127753772,"11",2
"938",2,18.498047454187,"11",2
"1770",3,7.668310670437,"11",2
"2602",4,5.25668860219891,"11",2
"3433",5,18.2260847150168,"11",2
"158",1,32.694828120368,"12",2
"992",2,8.24361215149852,"12",2
"1824",3,2.29147122348038,"12",2
"2656",4,2.35395675749831,"12",2
"3488",5,21.3252885011025,"12",2
"212",1,22.0021824271986,"13",2
"1044",2,11.3222517761063,"13",2
"1876",3,3.9176806473077,"13",2
"2708",4,2.12394454309846,"13",2
"3538",5,4.84209948950822,"13",2
"262",1,66.2777897620469,"14",2
"1094",2,29.9936700039259,"14",2
"1925",3,7.27789013266007,"14",2
"2758",4,2.94442721057601,"14",2
"3592",5,6.8698844121565,"14",2
"4",1,27.7919935291253,"1",3
"835",2,27.5025355422027,"1",3
"1667",3,10.7400324968051,"1",3
"2497",4,5.69304032359518,"1",3
"3329",5,17.5883788239747,"1",3
"417",1,26.3794623562635,"2",3
"1249",2,36.4026640194907,"2",3
"2081",3,21.3261039172681,"2",3
"2913",4,14.8646498281101,"2",3
"3745",5,46.4328343233494,"2",3
"469",1,30.4758258786314,"3",3
"1303",2,36.9990360038745,"3",3
"2136",3,18.2536151061871,"3",3
"2967",4,10.5441263871509,"3",3
"3799",5,27.8655601175768,"3",3
"523",1,29.2573308144903,"4",3
"1353",2,17.8961530835839,"4",3
"2185",3,4.95868094064933,"4",3
"3017",4,2.27435037324824,"4",3
"3849",5,7.04730404472977,"4",3
"573",1,22.4182788818859,"5",3
"1405",2,17.6696933174333,"5",3
"2237",3,6.77082443028977,"5",3
"3069",4,4.2273883990684,"5",3
"3903",5,16.240149158033,"5",3
"628",1,23.8139544016741,"6",3
"1459",2,25.8742964272311,"6",3
"2291",3,19.6797380278117,"6",3
"3123",4,22.927793168485,"6",3
"3953",5,104.437223305772,"6",3
"677",1,16.0886956143537,"7",3
"1509",2,11.2910743679433,"7",3
"2341",3,6.23633827762961,"7",3
"3173",4,5.45701095364257,"7",3
"4005",5,17.4314089409189,"7",3
"729",1,11.5646701596766,"8",3
"1561",2,13.6380666283313,"8",3
"2395",3,8.56838810456067,"8",3
"3228",4,8.8391569626966,"8",3
"4058",5,51.7709959966,"8",3
"781",1,21.9354158866212,"9",3
"1616",2,9.29997936575932,"9",3
"2447",3,9.74196821387265,"9",3
"3277",4,20.5372955239174,"9",3
"4109",5,71.0368170157977,"9",3
"53",1,30.3640320144391,"10",3
"885",2,15.0174545009754,"10",3
"1717",3,5.06991672299601,"10",3
"2549",4,3.12182225107966,"10",3
"3381",5,9.90883120395597,"10",3
"105",1,28.3559092359853,"11",3
"939",2,18.674568249519,"11",3
"1771",3,7.62615620596214,"11",3
"2603",4,5.18769230981683,"11",3
"3436",5,17.5742882908744,"11",3
"159",1,33.46653492183,"12",3
"989",2,8.39983227116168,"12",3
"1821",3,2.26719856629021,"12",3
"2653",4,2.27166365496523,"12",3
"3485",5,20.7116291364161,"12",3
"209",1,22.3882124588966,"13",3
"1041",2,11.4543772966223,"13",3
"1873",3,3.92627448479349,"13",3
"2705",4,2.10300641688516,"13",3
"3539",5,4.73553633116245,"13",3
"263",1,65.231127735383,"14",3
"1095",2,29.583044819623,"14",3
"1928",3,7.19965863714554,"14",3
"2759",4,2.92535445757736,"14",3
"3589",5,6.86220464874618,"14",3
"3",1,26.2840666581202,"1",4
"833",2,28.9539371702545,"1",4
"1665",3,11.9620295205544,"1",4
"2498",4,6.12862973943424,"1",4
"3330",5,16.907510023697,"1",4
"419",1,25.329023362201,"2",4
"1250",2,35.3417163660455,"2",4
"2082",3,20.9917112129863,"2",4
"2914",4,14.6980337972646,"2",4
"3747",5,45.3880472048135,"2",4
"470",1,30.0651256068973,"3",4
"1301",2,36.6516201634074,"3",4
"2134",3,18.3899318319723,"3",4
"2965",4,10.6631799022902,"3",4
"3797",5,27.4078837935795,"3",4
"521",1,30.8200020999861,"4",4
"1354",2,18.566527668871,"4",4
"2186",3,5.08073104010491,"4",4
"3019",4,2.31141498495588,"4",4
"3850",5,7.12822844038308,"4",4
"574",1,23.0835616440239,"5",4
"1406",2,18.0247597593071,"5",4
"2239",3,6.83099446280237,"5",4
"3070",4,4.18858371613884,"5",4
"3901",5,15.6706539352748,"5",4
"626",1,24.3656049124231,"6",4
"1457",2,25.5523703422488,"6",4
"2289",3,19.2150446068348,"6",4
"3121",4,22.3806239548466,"6",4
"3954",5,101.102041983711,"6",4
"678",1,16.5052746012488,"7",4
"1511",2,11.4923165499072,"7",4
"2342",3,6.35491780779063,"7",4
"3174",4,5.53965477238383,"7",4
"4006",5,17.3444725653875,"7",4
"731",1,11.5861433133917,"8",4
"1562",2,13.6495962554227,"8",4
"2393",3,8.54733799120899,"8",4
"3226",4,8.73688143139298,"8",4
"4057",5,50.3931112648189,"8",4
"782",1,21.172642144709,"9",4
"1614",2,8.6839306520367,"9",4
"2445",3,9.13317748599724,"9",4
"3278",4,19.4177982227631,"9",4
"4111",5,65.6869799302284,"9",4
"54",1,31.430710074258,"10",4
"886",2,15.3255218406421,"10",4
"1718",3,5.21432652635893,"10",4
"2551",4,3.21901439078458,"10",4
"3382",5,9.94594312301954,"10",4
"106",1,29.7128466519896,"11",4
"937",2,18.8732504706449,"11",4
"1769",3,7.60784565474471,"11",4
"2601",4,5.1458375508475,"11",4
"3434",5,17.1150329048817,"11",4
"157",1,34.1439936042671,"12",4
"990",2,8.64017973049591,"12",4
"1823",3,2.27417503917141,"12",4
"2654",4,2.214301105286,"12",4
"3486",5,20.1808031481732,"12",4
"210",1,22.7387395885954,"13",4
"1043",2,11.6547079124247,"13",4
"1874",3,3.97177377045666,"13",4
"2706",4,2.105642240466,"13",4
"3537",5,4.69871480131607,"13",4
"261",1,62.970483047489,"14",4
"1093",2,28.8907198649614,"14",4
"1926",3,7.1170764170769,"14",4
"2757",4,2.92974686405008,"14",4
"3590",5,6.96777614908033,"14",4
"18",1,21.8589261416164,"1",5
"853",2,28.093737312781,"1",5
"1685",3,12.4332067069476,"1",5
"2516",4,5.93618228884115,"1",5
"3348",5,16.239301686165,"1",5
"435",1,21.7114652749079,"2",5
"1268",2,31.8462608449205,"2",5
"2100",3,19.3104874477226,"2",5
"2932",4,13.0871004963811,"2",5
"3763",5,44.5421551457014,"2",5
"488",1,26.4151137956855,"3",5
"1321",2,33.683059233621,"3",5
"2152",3,17.3429065366309,"3",5
"2985",4,9.73922905504895,"3",5
"3817",5,27.1474942274346,"3",5
"541",1,29.1336124383497,"4",5
"1372",2,18.0411501669766,"4",5
"2204",3,4.92290425022762,"4",5
"3035",4,2.14338903225305,"4",5
"3868",5,7.33930498497117,"4",5
"592",1,21.1496826458911,"5",5
"1424",2,17.1009713027749,"5",5
"2255",3,6.47767004960076,"5",5
"3088",4,3.76213905621205,"5",5
"3921",5,15.2625058556692,"5",5
"644",1,22.138902547798,"6",5
"1477",2,23.3707622750751,"6",5
"2309",3,17.4628808009704,"6",5
"3141",4,19.5034299289498,"6",5
"3972",5,97.075442269839,"6",5
"696",1,15.0894023607964,"7",5
"1527",2,10.9173247646621,"7",5
"2360",3,6.08407250488263,"7",5
"3192",4,5.0858569534746,"7",5
"4024",5,17.5002878788055,"7",5
"747",1,10.4214593488438,"8",5
"1580",2,12.7706457396056,"8",5
"2413",3,8.02033324247292,"8",5
"3244",4,7.80974220565196,"8",5
"4076",5,49.3420905616971,"8",5
"801",1,18.3810235498207,"9",5
"1632",2,7.62646215783744,"9",5
"2465",3,8.06164802353309,"9",5
"3296",4,16.5240106559529,"9",5
"4127",5,60.9931008655716,"9",5
"72",1,28.7532502493314,"10",5
"904",2,14.5497936756525,"10",5
"1736",3,5.05297483482166,"10",5
"2567",4,3.02013205298974,"10",5
"3400",5,10.1636209143466,"10",5
"124",1,27.8795689714092,"11",5
"957",2,17.8797884065851,"11",5
"1789",3,7.17719726784391,"11",5
"2621",4,4.65318274453422,"11",5
"3452",5,16.9977089125126,"11",5
"177",1,31.2178541289275,"12",5
"1008",2,8.39381968282407,"12",5
"1839",3,2.17838466437089,"12",5
"2672",4,1.97699216532189,"12",5
"3504",5,19.9286053474404,"12",5
"228",1,20.7251708540268,"13",5
"1059",2,11.1631091236073,"13",5
"1892",3,3.82079289446133,"13",5
"2724",4,1.93251640249181,"13",5
"3557",5,4.77326731121252,"13",5
"281",1,53.7080509533721,"14",5
"1113",2,26.19148083211,"14",5
"1944",3,6.63031146702638,"14",5
"2777",4,2.68166069996878,"14",5
"3608",5,7.2545023358325,"14",5
"19",1,19.8240014300766,"1",6
"851",2,28.6588468177006,"1",6
"1683",3,13.5559013811415,"1",6
"2517",4,6.28362406555073,"1",6
"3349",5,15.2949014492626,"1",6
"437",1,20.574537786572,"2",6
"1269",2,30.398386540573,"2",6
"2101",3,18.6895687737045,"2",6
"2933",4,12.7586417553896,"2",6
"3765",5,43.0436952012644,"2",6
"489",1,25.5918854221329,"3",6
"1319",2,32.768007727922,"3",6
"2150",3,17.2280239854944,"3",6
"2983",4,9.7631277013764,"3",6
"3815",5,26.5511577724741,"3",6
"539",1,30.553231035647,"4",6
"1373",2,18.7097012355674,"4",6
"2205",3,5.07063462602388,"4",6
"3037",4,2.20195499773226,"4",6
"3869",5,7.53289053609234,"4",6
"593",1,21.3386468814487,"5",6
"1425",2,17.2080072416405,"5",6
"2257",3,6.49467068146547,"5",6
"3089",4,3.72245525310564,"5",6
"3919",5,14.7126284166083,"5",6
"642",1,22.1123839918287,"6",6
"1475",2,22.5930465632403,"6",6
"2307",3,16.6372423853824,"6",6
"3139",4,18.4650150853594,"6",6
"3973",5,90.7769150904957,"6",6
"697",1,15.21247304872,"7",6
"1529",2,11.0357032932305,"7",6
"2361",3,6.15532843420856,"7",6
"3193",4,5.13091434424221,"7",6
"4025",5,17.5440859802084,"7",6
"749",1,10.411467143329,"8",6
"1581",2,12.7354089631645,"8",6
"2411",3,7.96403312575812,"8",6
"3242",4,7.67366490662092,"8",6
"4077",5,47.6625707964433,"8",6
"800",1,17.7620202242985,"9",6
"1630",2,7.18576274655578,"9",6
"2463",3,7.54273366008922,"9",6
"3297",4,15.3979616751521,"9",6
"4129",5,55.8208507338384,"9",6
