"","sizeclass","data","area","season"
"1",1,61.2280740138685,"1",1
"836",2,50.1937538236459,"1",1
"1668",3,17.901071138163,"1",1
"2499",4,10.2094283095284,"1",1
"3331",5,38.9737960098881,"1",1
"418",1,59.3259787108975,"2",1
"1251",2,79.6196907926614,"2",1
"2083",3,45.4303967051207,"2",1
"2915",4,31.5394879322611,"2",1
"3746",5,101.18970786591,"2",1
"471",1,64.5075104495699,"3",1
"1304",2,77.6927153367232,"3",1
"2135",3,37.3645397585015,"3",1
"2968",4,21.6243458027026,"3",1
"3800",5,60.6127830100396,"3",1
"524",1,55.8879248564043,"4",1
"1355",2,35.4524258669228,"4",1
"2187",3,10.160050431048,"4",1
"3018",4,4.77920187185607,"4",1
"3851",5,15.0438660149132,"4",1
"575",1,43.5305709800631,"5",1
"1407",2,35.3392020465106,"5",1
"2238",3,14.0112672169183,"5",1
"3071",4,9.13358096734869,"5",1
"3904",5,36.9460894218384,"5",1
"627",1,46.5058961352036,"6",1
"1460",2,54.3528816751452,"6",1
"2292",3,42.0208575488358,"6",1
"3124",4,48.4734413241222,"6",1
"3955",5,222.780800785346,"6",1
"679",1,31.6207603519262,"7",1
"1510",2,22.9462348072932,"7",1
"2343",3,12.63849707261,"7",1
"3175",4,11.1592794466746,"7",1
"4007",5,37.9351683841457,"7",1
"730",1,24.3990362495525,"8",1
"1563",2,28.7899041871894,"8",1
"2396",3,18.1724910865181,"8",1
"3227",4,19.0360847718877,"8",1
"4059",5,114.493080659192,"8",1
"784",1,50.0577418094146,"9",1
"1615",2,22.9305876710661,"9",1
"2448",3,23.3861260693643,"9",1
"3279",4,47.4647022618903,"9",1
"4110",5,172.606872406397,"9",1
"55",1,57.0495035839049,"10",1
"887",2,30.0363868667691,"10",1
"1719",3,10.1879408175686,"10",1
"2550",4,6.31862038331732,"10",1
"3383",5,21.4815041231004,"10",1
"107",1,54.3421449362537,"11",1
"940",2,39.0360872840327,"11",1
"1772",3,16.4601116062905,"11",1
"2604",4,11.3944428133184,"11",1
"3435",5,40.6353618231943,"11",1
"160",1,67.7365464100724,"12",1
"991",2,17.3948101350596,"12",1
"1822",3,5.00100780755142,"12",1
"2655",4,5.24428966037792,"12",1
"3487",5,46.8648765960522,"12",1
"211",1,45.9230842083971,"13",1
"1042",2,23.9642827691588,"13",1
"1875",3,8.40219899657173,"13",1
"2707",4,4.61912187468747,"13",1
"3540",5,10.6978594316199,"13",1
"264",1,140.271209683306,"14",1
"1096",2,63.9994599834671,"14",1
"1927",3,15.6386551114455,"14",1
"2760",4,6.36010151555775,"14",1
"3591",5,14.8957153667789,"14",1
"2",1,60.9964718676715,"1",2
"834",2,54.6648283704291,"1",2
"1666",3,20.3178215398392,"1",2
"2500",4,11.1629381582368,"1",2
"3332",5,38.4527224483782,"1",2
"420",1,57.9744779849621,"2",2
"1252",2,78.9720776337336,"2",2
"2084",3,45.6470225768576,"2",2
"2916",4,31.7245632154718,"2",2
"3748",5,100.370526360223,"2",2
"472",1,65.0442281908556,"3",2
"1302",2,78.6469906924073,"3",2
"2133",3,38.2513413454062,"3",2
"2966",4,22.0797630021157,"3",2
"3798",5,60.0665475700147,"3",2
"522",1,59.0092833583246,"4",2
"1356",2,36.7221500585899,"4",2
"2188",3,10.3326193550145,"4",2
"3020",4,4.79204156100927,"4",2
"3852",5,14.9499423487136,"4",2
"576",1,45.8245287564217,"5",2
"1408",2,36.5877015813772,"5",2
"2240",3,14.2318228798223,"5",2
"3072",4,9.06897821526255,"5",2
"3902",5,35.7626338805404,"5",2
"625",1,48.8774989773137,"6",2
"1458",2,55.0664665497679,"6",2
"2290",3,42.2757039091295,"6",2
"3122",4,49.099068710012,"6",2
"3956",5,224.958728254018,"6",2
"680",1,33.0592088255193,"7",2
"1512",2,23.5203594151913,"7",2
"2344",3,12.9737369239404,"7",2
"3176",4,11.4011316674603,"7",2
"4008",5,37.427641218019,"7",2
"732",1,24.5221843295041,"8",2
"1564",2,28.9343940586532,"8",2
"2394",3,18.227521161066,"8",2
"3225",4,18.9588399052055,"8",2
"4060",5,112.613594400203,"8",2
"783",1,48.3478157676627,"9",2
"1613",2,21.2683071322339,"9",2
"2446",3,22.0547312343427,"9",2
"3280",4,45.7862211622106,"9",2
"4112",5,162.242137869142,"9",2
"56",1,61.2904121760589,"10",2
"888",2,31.0918857490775,"10",2
"1720",3,10.4838181035822,"10",2
"2552",4,6.46472028539496,"10",2
"3384",5,21.1835614197706,"10",2
"108",1,57.3587505859089,"11",2
"938",2,39.3575477748661,"11",2
"1770",3,16.3155546179511,"11",2
"2602",4,11.1844438344658,"11",2
"3433",5,38.778903648972,"11",2
"158",1,69.5634640858893,"12",2
"992",2,17.5396003223373,"12",2
"1824",3,4.87547068825613,"12",2
"2656",4,5.00841863297512,"12",2
"3488",5,45.372954257665,"12",2
"212",1,46.8131541004225,"13",2
"1044",2,24.0898973959709,"13",2
"1876",3,8.33549073895255,"13",2
"2708",4,4.51903094276268,"13",2
"3538",5,10.3023393393792,"13",2
"262",1,141.016573961802,"14",2
"1094",2,63.8163191572891,"14",2
"1925",3,15.484872622681,"14",2
"2758",4,6.26473874590642,"14",2
"3592",5,14.6167753450138,"14",2
"4",1,59.1319011257986,"1",3
"835",2,58.5160330685164,"1",3
"1667",3,22.8511329719257,"1",3
"2497",4,12.1128517523302,"1",3
"3329",5,37.4220826042014,"1",3
"417",1,56.1265156516245,"2",3
"1249",2,77.4524766372142,"2",3
"2081",3,45.3746891856769,"2",3
"2913",4,31.6269145278937,"2",3
"3745",5,98.7932645177647,"2",3
"469",1,64.8421827204924,"3",3
"1303",2,78.721353199733,"3",3
"2136",3,38.8374789493343,"3",3
"2967",4,22.4343114620232,"3",3
"3799",5,59.2884257820783,"3",3
"523",1,62.2496400308305,"4",3
"1353",2,38.0769214544339,"4",3
"2185",3,10.550384980105,"4",3
"3017",4,4.83904334733668,"4",3
"3849",5,14.994263924957,"4",3
"573",1,47.6984657061402,"5",3
"1405",2,37.5950921647517,"5",3
"2237",3,14.4060094261484,"5",3
"3069",4,8.9944434022732,"5",3
"3903",5,34.5535088468788,"5",3
"628",1,50.6679880886682,"6",3
"1459",2,55.0516945260237,"6",3
"2291",3,41.8717830378973,"6",3
"3123",4,48.7825386563511,"6",3
"3953",5,222.206858097387,"6",3
"677",1,34.2312672645824,"7",3
"1509",2,24.0235624849858,"7",3
"2341",3,13.2688048460205,"7",3
"3173",4,11.6106616034948,"7",3
"4005",5,37.0881041296146,"7",3
"729",1,24.6056811908013,"8",3
"1561",2,29.0171630390029,"8",3
"2395",3,18.230612988427,"8",3
"3228",4,18.8067169419077,"8",3
"4058",5,110.151055311915,"8",3
"781",1,46.6710976311088,"9",3
"1616",2,19.7871901399134,"9",3
"2447",3,20.7275919444099,"9",3
"3277",4,43.6963734551435,"9",3
"4109",5,151.142163863399,"9",3
"53",1,64.6043234349768,"10",3
"885",2,31.9520308531392,"10",3
"1717",3,10.7870568574383,"10",3
"2549",4,6.64217500229715,"10",3
"3381",5,21.082619582885,"10",3
"105",1,60.3317217786922,"11",3
"939",2,39.7331239351468,"11",3
"1771",3,16.2258642680046,"11",3
"2603",4,11.0376432123762,"11",3
"3436",5,37.3921027465413,"11",3
"159",1,71.2053934507021,"12",3
"989",2,17.8719835556631,"12",3
"1821",3,4.82382673678768,"12",3
"2653",4,4.83332692545793,"12",3
