"","sizeclass","data","area","season"
"1",1,14.8784219853701,"1",1
"836",2,12.197082179146,"1",1
"1668",3,4.34996028657361,"1",1
"2499",4,2.4808910792154,"1",1
"3331",5,9.47063243040281,"1",1
"418",1,14.4162128267481,"2",1
"1251",2,19.3475848626167,"2",1
"2083",3,11.0395863993443,"2",1
"2915",4,7.66409556753946,"2",1
"3746",5,24.5890990114162,"2",1
"471",1,15.6753250392455,"3",1
"1304",2,18.8793298268237,"3",1
"2135",3,9.07958316131587,"3",1
"2968",4,5.25471603005673,"3",1
"3800",5,14.7289062714396,"3",1
"524",1,13.5807657401062,"4",1
"1355",2,8.61493948566224,"4",1
"2187",3,2.46889225474465,"4",1
"3018",4,1.16134605486103,"4",1
"3851",5,3.65565944162391,"4",1
"575",1,10.5779287481553,"5",1
"1407",2,8.58742609730207,"5",1
"2238",3,3.40473793371115,"5",1
"3071",4,2.21946017506573,"5",1
"3904",5,8.97789972950674,"5",1
"627",1,11.3009327608545,"6",1
"1460",2,13.2077502470603,"6",1
"2292",3,10.2110683843671,"6",1
"3124",4,11.7790462417617,"6",1
"3955",5,54.1357345908392,"6",1
"679",1,7.68384476551807,"7",1
"1510",2,5.57593505817226,"7",1
"2343",3,3.07115478864422,"7",1
"3175",4,2.71170490554192,"7",1
"4007",5,9.21824591734741,"7",1
"730",1,5.92896580864125,"8",1
"1563",2,6.99594671748702,"8",1
"2396",3,4.41591533402389,"8",1
"3227",4,4.62576859956871,"8",1
"4059",5,27.8218186001838,"8",1
"784",1,12.1640312596877,"9",1
"1615",2,5.57213280406907,"9",1
"2448",3,5.68282863485551,"9",1
"3279",4,11.5339226496393,"9",1
"4110",5,41.9434699947544,"9",1
"55",1,13.8630293708889,"10",1
"887",2,7.29884200862489,"10",1
"1719",3,2.47566961866917,"10",1
"2550",4,1.53542475314611,"10",1
"3383",5,5.22000550191339,"10",1
"107",1,13.2051412195097,"11",1
"940",2,9.48576921001994,"11",1
"1772",3,3.99980712032859,"11",1
"2604",4,2.76884960363638,"11",1
"3435",5,9.87439292303622,"11",1
"160",1,16.4599807776476,"12",1
"991",2,4.22693886281949,"12",1
"1822",3,1.215244897235,"12",1
"2655",4,1.27436238747184,"12",1
"3487",5,11.3881650128407,"12",1
"211",1,11.1593094626405,"13",1
"1042",2,5.8233207129056,"13",1
"1875",3,2.04173435616693,"13",1
"2707",4,1.12244661554905,"13",1
"3540",5,2.59957984188363,"13",1
"264",1,34.0859039530434,"14",1
"1096",2,15.5518687759825,"14",1
"1927",3,3.80019319208126,"14",1
"2760",4,1.54550466828053,"14",1
"3591",5,3.61965883412728,"14",1
"2",1,14.8221426638442,"1",2
"834",2,13.2835532940143,"1",2
"1666",3,4.93723063418093,"1",2
"2500",4,2.71259397245154,"1",2
"3332",5,9.34401155495589,"1",2
"420",1,14.0877981503458,"2",2
"1252",2,19.1902148649973,"2",2
"2084",3,11.0922264861764,"2",2
"2916",4,7.70906886135964,"2",2
"3748",5,24.3900379055341,"2",2
