"","sizeclass","data","area","season"
"1",1,13074.2318867447,"1",1
"836",2,4441.38875127917,"1",1
"1668",3,4935.35627371198,"1",1
"2499",4,2242.21465616286,"1",1
"3331",5,4993.61763992849,"1",1
"418",1,3623.6607765569,"2",1
"1251",2,2789.67124693755,"2",1
"2083",3,5816.23613969645,"2",1
"2915",4,4007.25777215118,"2",1
"3746",5,12469.2346172575,"2",1
"471",1,6350.95805576412,"3",1
"1304",2,4569.05979582367,"3",1
"2135",3,7800.08705742033,"3",1
"2968",4,5063.37935887,"3",1
"3800",5,6127.52826857833,"3",1
"524",1,11455.727932764,"4",1
"1355",2,5706.39104678766,"4",1
"2187",3,6101.63540031705,"4",1
"3018",4,3125.65843319182,"4",1
"3851",5,7808.62132960501,"4",1
"575",1,9397.372373456,"5",1
"1407",2,5999.65801130315,"5",1
"2238",3,6149.97566722534,"5",1
"3071",4,3817.85729773667,"5",1
"3904",5,16210.8666828599,"5",1
"627",1,5756.87614183052,"6",1
"1460",2,3674.8683556567,"6",1
"2292",3,3750.37574064587,"6",1
"3124",4,4935.94794864566,"6",1
"3955",5,20126.1781712712,"6",1
"679",1,4422.04128288555,"7",1
"1510",2,2798.32918270227,"7",1
"2343",3,3788.32826620469,"7",1
"3175",4,7885.63390771984,"7",1
"4007",5,30923.3656972419,"7",1
"730",1,3222.17805587108,"8",1
"1563",2,2469.80860844937,"8",1
"2396",3,7340.37099013145,"8",1
"3227",4,12890.7019442864,"8",1
"4059",5,32915.3226323346,"8",1
"784",1,2280.05806674541,"9",1
"1615",2,1789.92160194109,"9",1
"2448",3,4438.90609675315,"9",1
"3279",4,6064.036403926,"9",1
"4110",5,16292.4092321562,"9",1
"55",1,9862.94124961115,"10",1
"887",2,7592.51511181532,"10",1
"1719",3,6995.34649417686,"10",1
"2550",4,5923.6234413909,"10",1
"3383",5,17562.6485684236,"10",1
"107",1,12760.3215921492,"11",1
"940",2,10443.2539047189,"11",1
"1772",3,11223.4586010397,"11",1
"2604",4,10084.7095139602,"11",1
"3435",5,12212.9180238274,"11",1
"160",1,9337.51643202495,"12",1
"991",2,1472.02196234627,"12",1
"1822",3,1028.45403185574,"12",1
"2655",4,483.81505508789,"12",1
"3487",5,6203.38870490751,"12",1
"211",1,16904.0989167971,"13",1
"1042",2,7681.52891813535,"13",1
"1875",3,8814.94497757173,"13",1
"2707",4,3221.22875585273,"13",1
"3540",5,8725.46045673546,"13",1
"264",1,12909.6466857711,"14",1
"1096",2,6273.06299395479,"14",1
"1927",3,9989.57084860468,"14",1
"2760",4,6513.1934786008,"14",1
"3591",5,5404.97005095987,"14",1
"2",1,12086.5707784102,"1",2
"834",2,4314.36104143862,"1",2
"1666",3,5038.32908239412,"1",2
"2500",4,2405.9684146699,"1",2
"3332",5,4938.06085799638,"1",2
"420",1,3611.90079450267,"2",2
"1252",2,2796.87187397149,"2",2
"2084",3,5906.84105732993,"2",2
"2916",4,4099.04908641411,"2",2
"3748",5,12502.9518477853,"2",2
"472",1,6300.47232908556,"3",2
"1302",2,4487.18751241198,"3",2
"2133",3,7606.80651847934,"3",2
"2966",4,5013.09420033642,"3",2
"3798",5,6095.34992956304,"3",2
"522",1,11616.2739616733,"4",2
"1356",2,5740.12874429286,"4",2
"2188",3,6144.04673602493,"4",2
"3020",4,3217.38862930277,"4",2
"3852",5,7692.06638665018,"4",2
"576",1,9699.68881462903,"5",2
"1408",2,6226.72513683003,"5",2
"2240",3,6275.30119790984,"5",2
"3072",4,3859.238717614,"5",2
"3902",5,16049.537471404,"5",2
"625",1,6144.7806517537,"6",2
"1458",2,3900.53733819749,"6",2
"2290",3,3866.38336306412,"6",2
"3122",4,4871.57355979865,"6",2
"3956",5,20063.7804759441,"6",2
"680",1,4560.42000210905,"7",2
"1512",2,2843.9042949365,"7",2
"2344",3,3868.01655594621,"7",2
"3176",4,7998.52396094981,"7",2
"4008",5,30774.7101234401,"7",2
"732",1,3188.84198625201,"8",2
"1564",2,2393.1947739576,"8",2
"2394",3,7187.44475309457,"8",2
"3225",4,12792.2634737724,"8",2
"4060",5,33069.7389629869,"8",2
"783",1,2051.87853136022,"9",2
"1613",2,1623.92246766386,"9",2
"2446",3,4309.38528268589,"9",2
"3280",4,6317.87531922758,"9",2
"4112",5,16140.816935245,"9",2
"56",1,10628.3236052072,"10",2
"888",2,8021.69452531314,"10",2
"1720",3,7080.42036551018,"10",2
"2552",4,5777.97966866494,"10",2
"3384",5,17419.3440226429,"10",2
"108",1,13504.5200467342,"11",2
"938",2,10605.6856754625,"11",2
"1770",3,11093.1218224792,"11",2
"2602",4,9906.11544025052,"11",2
"3433",5,12029.2324869122,"11",2
"158",1,9596.12546086173,"12",2
"992",2,1498.02900435582,"12",2
"1824",3,1041.80248898316,"12",2
"2656",4,484.756407764246,"12",2
"3488",5,6124.4354077065,"12",2
"212",1,17387.2148739671,"13",2
"1044",2,7913.06898249254,"13",2
"1876",3,9071.63871909626,"13",2
"2708",4,3302.53690914038,"13",2
"3538",5,8640.77272122186,"13",2
"262",1,13705.7954349023,"14",2
"1094",2,6523.83359061661,"14",2
"1925",3,10176.6161476559,"14",2
"2758",4,6499.55891680382,"14",2
"3592",5,5357.75062403763,"14",2
"4",1,11033.8584889432,"1",3
"835",2,4167.2348098429,"1",3
"1667",3,5149.86873125303,"1",3
"2497",4,2602.92342211412,"1",3
"3329",5,4884.81569846886,"1",3
"417",1,3552.5555311442,"2",3
"1249",2,2773.13749753358,"2",3
"2081",3,5950.28063906916,"2",3
"2913",4,4218.82229680654,"2",3
"3745",5,12533.1041784376,"2",3
"469",1,6131.31610749828,"3",3
"1303",2,4341.01164490411,"3",3
"2136",3,7370.13078449284,"3",3
"2967",4,4956.22997948828,"3",3
"3799",5,6066.97870075972,"3",3
"523",1,11754.1229606022,"4",3
"1353",2,5769.13842331883,"4",3
"2185",3,6209.70974404049,"4",3
"3017",4,3316.49706464713,"4",3
"3849",5,7583.72693327276,"4",3
"573",1,9870.20484471296,"5",3
"1405",2,6375.09170460328,"5",3
"2237",3,6382.52467443157,"5",3
"3069",4,3914.3571582115,"5",3
"3903",5,15898.9177236312,"5",3
"628",1,6474.57041448651,"6",3
"1459",2,4089.19978629108,"6",3
"2291",3,3975.32049664825,"6",3
"3123",4,4827.30256852696,"6",3
"3953",5,19996.0123971569,"6",3
"677",1,4667.73198099144,"7",3
"1509",2,2866.62667190306,"7",3
"2341",3,3945.36201299111,"7",3
"3173",4,8103.67357867156,"7",3
"4005",5,30604.8881104188,"7",3
"729",1,3170.25708809238,"8",3
"1561",2,2323.5019401731,"8",3
"2395",3,7041.31500042815,"8",3
"3228",4,12672.7709878696,"8",3
"4058",5,33214.2441662865,"8",3
"781",1,1879.60875857872,"9",3
