"","sizeclass","data","area","season"
"1",1,3686.93339206202,"1",1
"836",2,1252.47162786073,"1",1
"1668",3,1391.77046918678,"1",1
"2499",4,632.304533037926,"1",1
"3331",5,4993.61763992849,"1",1
"418",1,1021.87233898905,"2",1
"1251",2,786.687291636389,"2",1
"2083",3,1640.1785913944,"2",1
"2915",4,1130.04669174663,"2",1
"3746",5,12469.2346172575,"2",1
"471",1,1790.97017172548,"3",1
"1304",2,1288.47486242227,"3",1
"2135",3,2199.62455019253,"3",1
"2968",4,1427.87297920134,"3",1
"3800",5,6127.52826857833,"3",1
"524",1,3230.51527703943,"4",1
"1355",2,1609.20227519412,"4",1
"2187",3,1720.66118288941,"4",1
"3018",4,881.435678160092,"4",1
"3851",5,7808.62132960501,"4",1
"575",1,2650.05900931459,"5",1
"1407",2,1691.90355918749,"5",1
"2238",3,1734.29313815755,"5",1
"3071",4,1076.63575796174,"5",1
"3904",5,16210.8666828599,"5",1
"627",1,1623.43907199621,"6",1
"1460",2,1036.31287629519,"6",1
"2292",3,1057.60595886213,"6",1
"3124",4,1391.93732151807,"6",1
"3955",5,20126.1781712712,"6",1
"679",1,1247.01564177373,"7",1
"1510",2,789.128829522039,"7",1
"2343",3,1068.30857106972,"7",1
"3175",4,2223.74876197699,"7",1
"4007",5,30923.3656972419,"7",1
"730",1,908.654211755645,"8",1
"1563",2,696.486027582724,"8",1
"2396",3,2069.98461921707,"8",1
"3227",4,3635.17794828878,"8",1
"4059",5,32915.3226323346,"8",1
"784",1,642.976374822205,"9",1
"1615",2,504.757891747388,"9",1
"2448",3,1251.77151928439,"9",1
"3279",4,1710.05826590713,"9",1
"4110",5,16292.4092321562,"9",1
"55",1,2781.34943239034,"10",1
"887",2,2141.08926153192,"10",1
"1719",3,1972.68771135787,"10",1
"2550",4,1670.46181047223,"10",1
"3383",5,17562.6485684236,"10",1
"107",1,3598.41068898606,"11",1
"940",2,2944.99760113074,"11",1
"1772",3,3165.0153254932,"11",1
"2604",4,2843.88808293678,"11",1
"3435",5,12212.9180238274,"11",1
"160",1,2633.17963383104,"12",1
"991",2,415.11019338165,"12",1
