"","sizeclass","data","area","season"
"1",1,16735.0168150333,"1",1
"836",2,5684.97760163734,"1",1
"1668",3,6317.25603035133,"1",1
"2499",4,2870.03475988846,"1",1
"3331",5,4993.61763992849,"1",1
"418",1,4638.28579399283,"2",1
"1251",2,3570.77919608007,"2",1
"2083",3,7444.78225881146,"2",1
"2915",4,5129.28994835351,"2",1
"3746",5,12469.2346172575,"2",1
"471",1,8129.22631137808,"3",1
"1304",2,5848.3965386543,"3",1
"2135",3,9984.11143349802,"3",1
"2968",4,6481.1255793536,"3",1
"3800",5,6127.52826857833,"3",1
"524",1,14663.3317539379,"4",1
"1355",2,7304.18053988821,"4",1
"2187",3,7810.09331240583,"4",1
"3018",4,4000.84279448552,"4",1
"3851",5,7808.62132960501,"4",1
"575",1,12028.6366380237,"5",1
"1407",2,7679.56225446803,"5",1
"2238",3,7871.96885404844,"5",1
"3071",4,4886.85734110294,"5",1
"3904",5,16210.8666828599,"5",1
"627",1,7368.80146154306,"6",1
"1460",2,4703.83149524058,"6",1
"2292",3,4800.48094802671,"6",1
"3124",4,6318.01337426644,"6",1
"3955",5,20126.1781712712,"6",1
"679",1,5660.21284209351,"7",1
"1510",2,3581.8613538589,"7",1
"2343",3,4849.060180742,"7",1
"3175",4,10093.6114018814,"7",1
"4007",5,30923.3656972419,"7",1
"730",1,4124.38791151498,"8",1
"1563",2,3161.3550188152,"8",1
"2396",3,9395.67486736826,"8",1
"3227",4,16500.0984886866,"8",1
"4059",5,32915.3226323346,"8",1
"784",1,2918.47432543412,"9",1
"1615",2,2291.0996504846,"9",1
"2448",3,5681.79980384403,"9",1
"3279",4,7761.96659702528,"9",1
"4110",5,16292.4092321562,"9",1
"55",1,12624.5647995023,"10",1
"887",2,9718.41934312361,"10",1
"1719",3,8954.04351254638,"10",1
"2550",4,7582.23800498035,"10",1
"3383",5,17562.6485684236,"10",1
"107",1,16333.2116379509,"11",1
"940",2,13367.3649980402,"11",1
"1772",3,14366.0270093309,"11",1
"2604",4,12908.4281778691,"11",1
"3435",5,12212.9180238274,"11",1
"160",1,11952.0210329919,"12",1
"991",2,1884.18811180323,"12",1
"1822",3,1316.42116077535,"12",1
"2655",4,619.283270512499,"12",1
"3487",5,6203.38870490751,"12",1
"211",1,21637.2466135003,"13",1
"1042",2,9832.35701521324,"13",1
"1875",3,11283.1295712918,"13",1
"2707",4,4123.1728074915,"13",1
"3540",5,8725.46045673546,"13",1
"264",1,16524.347757787,"14",1
"1096",2,8029.52063226213,"14",1
