"","sizeclass","data","area","season"
"1",1,4066.60908605308,"1",1
"836",2,1381.44955719787,"1",1
"1668",3,1535.09321537537,"1",1
"2499",4,697.418446652896,"1",1
"3331",5,4993.61763992849,"1",1
"418",1,1127.10344794026,"2",1
"1251",2,867.699344647456,"2",1
"2083",3,1809.08208889118,"2",1
"2915",4,1246.4174574499,"2",1
"3746",5,12469.2346172575,"2",1
"471",1,1975.40199366487,"3",1
"1304",2,1421.16035889299,"3",1
"2135",3,2426.13907834002,"3",1
"2968",4,1574.91351578292,"3",1
"3800",5,6127.52826857833,"3",1
"524",1,3563.1896162069,"4",1
"1355",2,1774.91587119283,"4",1
"2187",3,1897.85267491462,"4",1
"3018",4,972.204799059982,"4",1
"3851",5,7808.62132960501,"4",1
"575",1,2922.95870303975,"5",1
"1407",2,1866.13362783573,"5",1
"2238",3,1912.88843153377,"5",1
"3071",4,1187.50633388801,"5",1
"3904",5,16210.8666828599,"5",1
"627",1,1790.61875515496,"6",1
"1460",2,1143.03105334346,"6",1
"2292",3,1166.51687037049,"6",1
"3124",4,1535.27724994674,"6",1
"3955",5,20126.1781712712,"6",1
"679",1,1375.43172062872,"7",1
"1510",2,870.392308987713,"7",1
"2343",3,1178.32162392031,"7",1
"3175",4,2452.74757065718,"7",1
"4007",5,30923.3656972419,"7",1
"730",1,1002.22626249814,"8",1
"1563",2,768.209269572093,"8",1
"2396",3,2283.14899277049,"8",1
"3227",4,4009.52393275085,"8",1
"4059",5,32915.3226323346,"8",1
"784",1,709.189261080492,"9",1
"1615",2,556.737215067757,"9",1
"2448",3,1380.6773523341,"9",1
"3279",4,1886.15788307714,"9",1
"4110",5,16292.4092321562,"9",1
"55",1,3067.76924627905,"10",1
"887",2,2361.57590037904,"10",1
"1719",3,2175.83257354877,"10",1
"2550",4,1842.48383521022,"10",1
"3383",5,17562.6485684236,"10",1
"107",1,3968.97042802207,"11",1
"940",2,3248.26969452377,"11",1
"1772",3,3490.9445632674,"11",1
"2604",4,3136.74804722218,"11",1
"3435",5,12212.9180238274,"11",1
"160",1,2904.34111101704,"12",1
"991",2,457.857711168185,"12",1
"1822",3,319.89034206841,"12",1
"2655",4,150.485834734537,"12",1
"3487",5,6203.38870490751,"12",1
"211",1,5257.85092708057,"13",1
"1042",2,2389.26275469682,"13",1
"1875",3,2741.80048582391,"13",1
"2707",4,1001.93099222043,"13",1
"3540",5,8725.46045673546,"13",1
"264",1,4015.41650514223,"14",1
"1096",2,1951.1735136397,"14",1
"1927",3,3107.15611675,"14",1
"2760",4,2025.86369958399,"14",1
"3591",5,5404.97005095987,"14",1
"2",1,3759.4069749167,"1",2
"834",2,1341.93885832907,"1",2
"1666",3,1567.12187778787,"1",2
"2500",4,748.352415698926,"1",2
"3332",5,4938.06085799638,"1",2
"420",1,1123.44562312211,"2",2
"1252",2,869.939027680092,"2",2
"2084",3,1837.2638424719,"2",2
"2916",4,1274.96822783824,"2",2
"3748",5,12502.9518477853,"2",2
"472",1,1959.69891323877,"3",2
"1302",2,1395.69480386062,"3",2
"2133",3,2366.02109950781,"3",2
"2966",4,1559.27282007264,"3",2
"3798",5,6095.34992956304,"3",2
"522",1,3613.12585303886,"4",2
"1356",2,1785.40964462485,"4",2
"2188",3,1911.0442967732,"4",2
"3020",4,1000.73655925833,"4",2
"3852",5,7692.06638665018,"4",2
"576",1,3016.99120890221,"5",2
"1408",2,1936.76058655961,"5",2
"2240",3,1951.86968459788,"5",2
"3072",4,1200.37761072666,"5",2
"3902",5,16049.537471404,"5",2
"625",1,1911.27257392147,"6",2
"1458",2,1213.22313367295,"6",2
"2290",3,1202.59988124746,"6",2
"3122",4,1515.25424003977,"6",2
"3956",5,20063.7804759441,"6",2
"680",1,1418.473037456,"7",2
"1512",2,884.567991897048,"7",2
"2344",3,1203.10786956151,"7",2
"3176",4,2487.86089281383,"7",2
"4008",5,30774.7101234401,"7",2
"732",1,991.857411403824,"8",2
"1564",2,744.379302491771,"8",2
"2394",3,2235.58281600253,"8",2
"3225",4,3978.90563088217,"8",2
"4060",5,33069.7389629869,"8",2
"783",1,638.216298394282,"9",2
"1613",2,505.104844342168,"9",2
"2446",3,1340.39119832662,"9",2
"3280",4,1965.11193929254,"9",2
"4112",5,16140.816935245,"9",2
"56",1,3305.83377416365,"10",2
"888",2,2495.0678651534,"10",2
"1720",3,2202.29395048829,"10",2
"2552",4,1797.18279614154,"10",2
"3384",5,17419.3440226429,"10",2
"108",1,4200.44591533619,"11",2
"938",2,3298.79247249586,"11",2
"1770",3,3450.40461166392,"11",2
"2602",4,3081.19814653552,"11",2
"3433",5,12029.2324869122,"11",2
"158",1,2984.77886334643,"12",2
"992",2,465.946941514834,"12",2
"1824",3,324.042246173322,"12",2
"2656",4,150.778633070991,"12",2
"3488",5,6124.4354077065,"12",2
"212",1,5408.11931439872,"13",2
"1044",2,2461.28097631448,"13",2
"1876",3,2821.6425071877,"13",2
"2708",4,1027.22108021902,"13",2
"3538",5,8640.77272122186,"13",2
"262",1,4263.050612072,"14",2
"1094",2,2029.17320002539,"14",2
"1925",3,3165.33468656689,"14",2
"2758",4,2021.62280548266,"14",2
"3592",5,5357.75062403763,"14",2
"4",1,3431.9713444009,"1",3
"835",2,1296.17671525354,"1",3
"1667",3,1601.81517016894,"1",3
"2497",4,809.613301214376,"1",3
"3329",5,4884.81569846886,"1",3
"417",1,1104.98687240709,"2",3
"1249",2,862.556687232844,"2",3
"2081",3,1850.77528997607,"2",3
"2913",4,1312.22248719871,"2",3
"3745",5,12533.1041784376,"2",3
"469",1,1907.08456207626,"3",3
"1303",2,1350.22826203097,"3",3
"2136",3,2292.40547920865,"3",3
"2967",4,1541.58577282003,"3",3
"3799",5,6066.97870075972,"3",3
"523",1,3656.00240566572,"4",3
"1353",2,1794.43281518909,"4",3
"2185",3,1931.46811878635,"4",3
"3017",4,1031.56324698784,"4",3
"3849",5,7583.72693327276,"4",3
"573",1,3070.02851489952,"5",3
"1405",2,1982.9085237998,"5",3
"2237",3,1985.22047473519,"5",3
"3069",4,1217.5216504901,"5",3
"3903",5,15898.9177236312,"5",3
"628",1,2013.85038172189,"6",3
"1459",2,1271.90470152798,"6",3
"2291",3,1236.48368727747,"6",3
"3123",4,1501.48419091463,"6",3
"3953",5,19996.0123971569,"6",3
"677",1,1451.85135536758,"7",3
"1509",2,891.635560028729,"7",3
"2341",3,1227.16540052075,"7",3
"3173",4,2520.56662991,"7",3
"4005",5,30604.8881104188,"7",3
"729",1,986.076764680252,"8",3
"1561",2,722.70204347144,"8",3
"2395",3,2190.13061773317,"8",3
"3228",4,3941.73868806695,"8",3
"4058",5,33214.2441662865,"8",3
"781",1,584.633508268325,"9",3
"1616",2,464.934678562214,"9",3
"2447",3,1321.49572906811,"9",3
"3277",4,2069.97427869903,"9",3
"4109",5,16000.0668800865,"9",3
"53",1,3508.58159612921,"10",3
"885",2,2589.30199205192,"10",3
"1717",3,2209.82642653042,"10",3
"2549",4,1757.1659258344,"10",3
"3381",5,17293.3167768562,"10",3
"105",1,4422.48168177737,"11",3
"939",2,3326.28761785531,"11",3
"1771",3,3402.0946938013,"11",3
"2603",4,3023.90982346639,"11",3
"3436",5,11852.9623272422,"11",3
"159",1,3053.90237737065,"12",3
"989",2,476.661028942559,"12",3
"1821",3,332.65548796572,"12",3
"2653",4,153.905901768323,"12",3
"3485",5,6044.40891998772,"12",3
"209",1,5539.07834738184,"13",3
"1041",2,2518.11609889361,"13",3
"1873",3,2888.59088519632,"13",3
"2705",4,1052.61608755255,"13",3
"3539",5,8560.28783646945,"13",3
"263",1,4489.11376836616,"14",3
"1095",2,2090.49227030764,"14",3
"1928",3,3190.35059432544,"14",3
"2759",4,1993.46325773138,"14",3
"3589",5,5308.62538880568,"14",3
"3",1,3100.18731420902,"1",4
"833",2,1245.93735176471,"1",4
"1665",3,1638.75027619065,"1",4
"2498",4,881.734258893476,"1",4
"3330",5,4834.36800130254,"1",4
"419",1,1073.79092460727,"2",4
"1250",2,846.623822694429,"2",4
"2082",3,1850.32929820898,"2",4
"2914",4,1357.79382557257,"2",4
"3747",5,12561.1179891648,"2",4
"470",1,1823.87281290197,"3",4
"1301",2,1288.76852417985,"3",4
"2134",3,2208.58723817751,"3",4
"2965",4,1522.29516735722,"3",4
"3797",5,6043.06011662973,"3",4
"521",1,3691.68026014058,"4",4
"1354",2,1801.98162347548,"4",4
"2186",3,1958.54156526539,"4",4
"3019",4,1064.35828098109,"4",4
"3850",5,7484.67587050419,"4",4
"574",1,3082.7111379048,"5",4
"1406",2,2004.36085651517,"5",4
"2239",3,2012.75714778242,"5",4
"3070",4,1238.58337000599,"5",4
"3901",5,15760.420150604,"5",4
"626",1,2095.58426614238,"6",4
"1457",2,1317.62941200605,"6",4
"2289",3,1267.79252722549,"6",4
"3121",4,1493.48091280318,"6",4
"3954",5,19924.8658311387,"6",4
"678",1,1475.32658903973,"7",4
"1511",2,891.922198484287,"7",4
"2342",3,1250.25048741499,"7",4
"3174",4,2550.61304218737,"7",4
"4006",5,30418.6986190115,"7",4
"731",1,984.514176398839,"8",4
"1562",2,703.157470844188,"8",4
"2393",3,2147.11601240211,"8",4
"3226",4,3899.15851307035,"8",4
"4057",5,33346.7699709488,"8",4
"782",1,544.915803344674,"9",4
"1614",2,434.101354484869,"9",4
"2445",3,1321.70090517271,"9",4
"3278",4,2201.28533414958,"9",4
"4111",5,15871.87472953,"9",4
"54",1,3669.49092064986,"10",4
"886",2,2642.03171278806,"10",4
"1718",3,2199.66407656435,"10",4
"2551",4,1722.2422374783,"10",4
"3382",5,17185.8866369979,"10",4
"106",1,4631.42313135394,"11",4
"937",2,3331.74367216366,"11",4
"1769",3,3347.53359234827,"11",4
"2601",4,2965.86059461458,"11",4
"3434",5,11686.0231797879,"11",4
"157",1,3111.11723904366,"12",4
"990",2,489.844328106565,"12",4
"1823",3,345.613885289407,"12",4
"2654",4,159.771788349362,"12",4
"3486",5,5965.3849492716,"12",4
"210",1,5649.50976087436,"13",4
"1043",2,2559.36330180705,"13",4
"1874",3,2942.07452030992,"13",4
"2706",4,1077.8373383476,"13",4
"3537",5,8484.95841373129,"13",4
"261",1,4688.9789599094,"14",4
"1093",2,2134.33514017274,"14",4
"1926",3,3183.82243618846,"14",4
"2757",4,1944.53179656852,"14",4
"3590",5,5258.49482797313,"14",4
"18",1,2568.55616087076,"1",5
"853",2,1122.5748120638,"1",5
"1685",3,1594.56693061749,"1",5
"2516",4,957.054145318048,"1",5
"3348",5,4787.41476987082,"1",5
"435",1,954.849562402136,"2",5
"1268",2,774.893341319836,"2",5
"2100",3,1746.19001024585,"2",5
"2932",4,1399.40884576945,"2",5
"3763",5,12586.5111015344,"2",5
"488",1,1588.60057295728,"3",5
"1321",2,1143.91869887885,"3",5
"2152",3,2013.06630625788,"3",5
"2985",4,1489.15966352671,"3",5
"3817",5,6023.63670475217,"3",5
"541",1,3441.16267182873,"4",5
"1372",2,1701.49950599177,"4",5
"2204",3,1893.28563610068,"4",5
"3035",4,1089.47618130592,"4",5
"3868",5,7396.03926128468,"4",5
"592",1,2828.16452026151,"5",5
"1424",2,1883.9460756785,"5",5
"2255",3,1933.82150184785,"5",5
"3088",4,1252.55457918826,"5",5
"3921",5,15636.578664656,"5",5
"644",1,1992.96186509802,"6",5
"1477",2,1269.90217684534,"6",5
"2309",3,1232.09932433603,"6",5
"3141",4,1478.25571390792,"6",5
"3972",5,19851.3101124962,"6",5
"696",1,1377.27085210638,"7",5
"1527",2,833.706762550776,"7",5
"2360",3,1209.24320078247,"7",5
"3192",4,2556.00062745837,"7",5
"4024",5,30218.5917290599,"7",5
"747",1,912.870212302769,"8",5
"1580",2,645.315620322827,"8",5
"2413",3,2002.72101236666,"8",5
"3244",4,3819.78180827913,"8",5
"4076",5,33467.7173962726,"8",5
"801",1,477.836263110353,"9",5
"1632",2,386.819787603776,"9",5
"2465",3,1273.39150568745,"9",5
"3296",4,2339.95242136204,"9",5
"4127",5,15758.6817353849,"9",5
"72",1,3500.1724628235,"10",5
"904",2,2496.91233411474,"10",5
"1736",3,2066.05488660985,"10",5
"2567",4,1677.97642902485,"10",5
"3400",5,17098.9944741323,"10",5
"124",1,4461.89771898445,"11",5
"957",2,3121.15480835591,"11",5
"1789",3,3125.70691549715,"11",5
