"","sizeclass","data","area","season"
"1",1,1326.38326954675,"1",1
"836",2,2510.38353994326,"1",1
"1668",3,1903.97810966005,"1",1
"2499",4,894.390722700669,"1",1
"3331",5,449.262297055843,"1",1
"418",1,719.684118187701,"2",1
"1251",2,961.394705840362,"2",1
"2083",3,896.425264181508,"2",1
"2915",4,515.411298773567,"2",1
"3746",5,180.776442026292,"2",1
"471",1,537.753817973713,"3",1
"1304",2,901.730528721407,"3",1
"2135",3,942.227585793146,"3",1
"2968",4,644.919412794038,"3",1
"3800",5,329.033695204721,"3",1
"524",1,826.498658276307,"4",1
"1355",2,1403.75378262642,"4",1
"2187",3,1056.98465107691,"4",1
"3018",4,512.925182679042,"4",1
"3851",5,254.751083405645,"4",1
"575",1,412.647109515628,"5",1
"1407",2,838.547730728855,"5",1
"2238",3,907.600972673562,"5",1
"3071",4,668.192923975766,"5",1
"3904",5,452.919504269159,"5",1
"627",1,581.553392120255,"6",1
"1460",2,1014.49366287051,"6",1
"2292",3,1063.68105300121,"6",1
"3124",4,658.517283790194,"6",1
"3955",5,271.340479083529,"6",1
"679",1,708.025623733364,"7",1
"1510",2,1343.86284731325,"7",1
"2343",3,1517.60465889483,"7",1
"3175",4,1255.35821210907,"7",1
"4007",5,952.14638681319,"7",1
"730",1,598.520569611857,"8",1
"1563",2,1160.85537785092,"8",1
"2396",3,1223.99071001255,"8",1
"3227",4,812.912304444812,"8",1
"4059",5,436.018433515172,"8",1
"784",1,274.530536322914,"9",1
"1615",2,451.347316683623,"9",1
"2448",3,332.121456720441,"9",1
"3279",4,176.59138214168,"9",1
"4110",5,112.223115780562,"9",1
"55",1,483.426924058346,"10",1
"887",2,1091.38555693937,"10",1
"1719",3,1095.51799617193,"10",1
"2550",4,746.639903533149,"10",1
"3383",5,559.761748444612,"10",1
"107",1,549.839115316605,"11",1
"940",2,1049.89930109752,"11",1
"1772",3,1021.83974141929,"11",1
"2604",4,720.968437694143,"11",1
"3435",5,536.370222293478,"11",1
"160",1,302.878267562163,"12",1
"991",2,257.521387748627,"12",1
"1822",3,364.541241141551,"12",1
"2655",4,597.728229860611,"12",1
"3487",5,621.062339112782,"12",1
"211",1,674.591314848414,"13",1
"1042",2,1264.17209348677,"13",1
"1875",3,1241.44216226224,"13",1
"2707",4,871.789584045397,"13",1
"3540",5,615.659228398779,"13",1
"264",1,319.641437779354,"14",1
"1096",2,846.325742669797,"14",1
"1927",3,1003.24278419661,"14",1
"2760",4,859.722128753156,"14",1
"3591",5,880.857955933943,"14",1
"2",1,1385.12751771429,"1",2
"834",2,2562.15006176483,"1",2
"1666",3,1895.05361914277,"1",2
"2500",4,866.644538011065,"1",2
"3332",5,423.691945898385,"1",2
"420",1,768.675676344706,"2",2
"1252",2,1021.63324267883,"2",2
"2084",3,923.841602187938,"2",2
"2916",4,500.999361989943,"2",2
"3748",5,163.352499028728,"2",2
"472",1,565.323097677246,"3",2
"1302",2,929.2678810368,"3",2
"2133",3,947.861683515873,"3",2
"2966",4,627.088187779777,"3",2
"3798",5,306.159460563811,"3",2
"522",1,827.914508931869,"4",2
"1356",2,1397.15020142827,"4",2
"2188",3,1050.11768388116,"4",2
"3020",4,507.841881307951,"4",2
"3852",5,249.610452177032,"4",2
"576",1,428.882046314475,"5",2
"1408",2,849.238307566791,"5",2
"2240",3,901.006601148257,"5",2
"3072",4,653.603745926079,"5",2
"3902",5,437.180565565799,"5",2
"625",1,628.310489376808,"6",2
"1458",2,1067.11376321759,"6",2
"2290",3,1077.01767236935,"6",2
"3122",4,642.047577977121,"6",2
"3956",5,257.768223263019,"6",2
"680",1,772.476183897243,"7",2
"1512",2,1415.18936960562,"7",2
"2344",3,1547.21324981971,"7",2
"3176",4,1240.95343989339,"7",2
"4008",5,911.875652389974,"7",2
"732",1,650.283406755011,"8",2
"1564",2,1233.71225766114,"8",2
"2394",3,1278.33513802605,"8",2
"3225",4,824.102406046246,"8",2
"4060",5,419.546596861822,"8",2
"783",1,275.361660158942,"9",2
"1613",2,452.109720687577,"9",2
"2446",3,332.249623102154,"9",2
"3280",4,176.439782347371,"9",2
"4112",5,111.992809979412,"9",2
"56",1,507.353191264835,"10",2
"888",2,1107.23725280853,"10",2
"1720",3,1082.28846340048,"10",2
"2552",4,723.328008395803,"10",2
"3384",5,533.24212199537,"10",2
"108",1,577.35261619128,"11",2
"938",2,1068.67820394813,"11",2
"1770",3,1007.04714326988,"11",2
"2602",4,691.124307363964,"11",2
"3433",5,504.068490392856,"11",2
"158",1,282.201507198786,"12",2
"992",2,257.764707922235,"12",2
"1824",3,345.312681826817,"12",2
"2656",4,540.028139392337,"12",2
"3488",5,614.381863047696,"12",2
"212",1,664.823592208091,"13",2
"1044",2,1252.64795593912,"13",2
"1876",3,1239.76093394524,"13",2
"2708",4,877.330946807303,"13",2
