"","sizeclass","data","area","season"
"1",1,374.040082012184,"1",1
"836",2,707.928158264,"1",1
"1668",3,536.921826924135,"1",1
"2499",4,252.218183801589,"1",1
"3331",5,126.691967769748,"1",1
"418",1,202.950921328932,"2",1
"1251",2,271.113307046982,"2",1
"2083",3,252.791924499185,"2",1
"2915",4,145.345986254146,"2",1
"3746",5,50.9789566514142,"2",1
"471",1,151.646576668587,"3",1
"1304",2,254.288009099437,"3",1
"2135",3,265.708179193667,"3",1
"2968",4,181.867274407919,"3",1
"3800",5,92.7875020477312,"3",1
"524",1,233.072621633919,"4",1
"1355",2,395.858566700649,"4",1
"2187",3,298.069671603688,"4",1
"3018",4,144.64490151549,"4",1
"3851",5,71.8398055203918,"4",1
"575",1,116.366484883407,"5",1
"1407",2,236.470460065537,"5",1
"2238",3,255.943474293944,"5",1
"3071",4,188.430404561166,"5",1
"3904",5,127.723300203903,"5",1
"627",1,163.998056577912,"6",1
"1460",2,286.087212929485,"6",1
"2292",3,299.958056946342,"6",1
"3124",4,185.701874028835,"6",1
"3955",5,76.5180151015551,"6",1
"679",1,199.663225892809,"7",1
"1510",2,378.969322942338,"7",1
"2343",3,427.964513808341,"7",1
"3175",4,354.011015814758,"7",1
"4007",5,268.50528108132,"7",1
"730",1,168.782800630544,"8",1
"1563",2,327.361216553959,"8",1
"2396",3,345.165380223539,"8",1
"3227",4,229.241269853437,"8",1
"4059",5,122.957198251278,"8",1
"784",1,77.4176112430618,"9",1
"1615",2,127.279943304782,"9",1
"2448",3,93.6582507951645,"9",1
"3279",4,49.7987697639538,"9",1
"4110",5,31.6469186501184,"9",1
"55",1,136.326392584454,"10",1
"887",2,307.770727056902,"10",1
"1719",3,308.936074920485,"10",1
"2550",4,210.552452796348,"10",1
"3383",5,157.852813061381,"10",1
"107",1,155.054630519283,"11",1
"940",2,296.0716029095,"11",1
"1772",3,288.158807080239,"11",1
"2604",4,203.313099429748,"11",1
"3435",5,151.256402686761,"11",1
"160",1,85.41167145253,"12",1
"991",2,72.6210313451127,"12",1
"1822",3,102.800630001917,"12",1
"2655",4,168.559360820692,"12",1
"3487",5,175.139579629805,"12",1
"211",1,190.234750787253,"13",1
"1042",2,356.49653036327,"13",1
"1875",3,350.086689757951,"13",1
"2707",4,245.844662700802,"13",1
"3540",5,173.615902408456,"13",1
"264",1,90.138885453778,"14",1
"1096",2,238.663859432883,"14",1
"1927",3,282.914465143445,"14",1
"2760",4,242.44164030839,"14",1
