"","sizeclass","data","area","season"
"1",1,795.829961728051,"1",1
"836",2,1506.23012396596,"1",1
"1668",3,1142.38686579603,"1",1
"2499",4,536.634433620402,"1",1
"3331",5,269.557378233506,"1",1
"418",1,431.81047091262,"2",1
"1251",2,576.836823504217,"2",1
"2083",3,537.855158508905,"2",1
"2915",4,309.24677926414,"2",1
"3746",5,108.465865215775,"2",1
"471",1,322.652290784228,"3",1
"1304",2,541.038317232844,"3",1
"2135",3,565.336551475887,"3",1
"2968",4,386.951647676423,"3",1
"3800",5,197.420217122832,"3",1
"524",1,495.899194965784,"4",1
"1355",2,842.25226957585,"4",1
"2187",3,634.190790646144,"4",1
"3018",4,307.755109607425,"4",1
"3851",5,152.850650043387,"4",1
"575",1,247.588265709377,"5",1
"1407",2,503.128638437313,"5",1
"2238",3,544.560583604137,"5",1
"3071",4,400.915754385459,"5",1
"3904",5,271.751702561495,"5",1
"627",1,348.932035272153,"6",1
"1460",2,608.696197722309,"6",1
"2292",3,638.208631800727,"6",1
"3124",4,395.110370274116,"6",1
"3955",5,162.804287450117,"6",1
"679",1,424.815374240018,"7",1
"1510",2,806.317708387953,"7",1
"2343",3,910.562795336896,"7",1
"3175",4,753.214927265443,"7",1
"4007",5,571.287832087914,"7",1
"730",1,359.112341767114,"8",1
"1563",2,696.513226710552,"8",1
"2396",3,734.394426007531,"8",1
"3227",4,487.747382666887,"8",1
"4059",5,261.611060109103,"8",1
"784",1,164.718321793749,"9",1
"1615",2,270.808390010174,"9",1
"2448",3,199.272874032265,"9",1
"3279",4,105.954829285008,"9",1
"4110",5,67.3338694683371,"9",1
"55",1,290.056154435007,"10",1
"887",2,654.831334163621,"10",1
"1719",3,657.310797703159,"10",1
"2550",4,447.983942119889,"10",1
"3383",5,335.857049066767,"10",1
"107",1,329.903469189963,"11",1
"940",2,629.939580658511,"11",1
"1772",3,613.103844851573,"11",1
"2604",4,432.581062616486,"11",1
"3435",5,321.822133376087,"11",1
"160",1,181.726960537298,"12",1
"991",2,154.512832649176,"12",1
"1822",3,218.724744684931,"12",1
"2655",4,358.636937916367,"12",1
"3487",5,372.637403467669,"12",1
"211",1,404.754788909048,"13",1
"1042",2,758.503256092063,"13",1
"1875",3,744.865297357343,"13",1
"2707",4,523.073750427238,"13",1
"3540",5,369.395537039268,"13",1
"264",1,191.784862667613,"14",1
"1096",2,507.795445601878,"14",1
"1927",3,601.945670517969,"14",1
"2760",4,515.833277251893,"14",1
"3591",5,528.514773560366,"14",1
"2",1,831.076510628576,"1",2
"834",2,1537.2900370589,"1",2
"1666",3,1137.03217148566,"1",2
"2500",4,519.986722806639,"1",2
"3332",5,254.215167539031,"1",2
"420",1,461.205405806824,"2",2
"1252",2,612.979945607296,"2",2
"2084",3,554.304961312763,"2",2
"2916",4,300.599617193966,"2",2
"3748",5,98.0114994172365,"2",2
"472",1,339.193858606347,"3",2
"1302",2,557.56072862208,"3",2
"2133",3,568.717010109524,"3",2
"2966",4,376.252912667866,"3",2
"3798",5,183.695676338287,"3",2
"522",1,496.748705359121,"4",2
"1356",2,838.29012085696,"4",2
"2188",3,630.070610328698,"4",2
"3020",4,304.705128784771,"4",2
"3852",5,149.766271306219,"4",2
"576",1,257.329227788685,"5",2
"1408",2,509.542984540074,"5",2
"2240",3,540.603960688954,"5",2
"3072",4,392.162247555647,"5",2
"3902",5,262.308339339479,"5",2
"625",1,376.986293626085,"6",2
"1458",2,640.268257930552,"6",2
"2290",3,646.210603421611,"6",2
"3122",4,385.228546786273,"6",2
"3956",5,154.660933957811,"6",2
"680",1,463.485710338346,"7",2
"1512",2,849.113621763374,"7",2
"2344",3,928.327949891824,"7",2
"3176",4,744.572063936036,"7",2
"4008",5,547.125391433984,"7",2
"732",1,390.170044053007,"8",2
"1564",2,740.227354596682,"8",2
"2394",3,767.001082815629,"8",2
"3225",4,494.461443627747,"8",2
"4060",5,251.727958117093,"8",2
"783",1,165.216996095365,"9",2
"1613",2,271.265832412546,"9",2
"2446",3,199.349773861293,"9",2
"3280",4,105.863869408423,"9",2
"4112",5,67.1956859876474,"9",2
"56",1,304.411914758901,"10",2
"888",2,664.342351685119,"10",2
"1720",3,649.373078040291,"10",2
"2552",4,433.996805037482,"10",2
"3384",5,319.945273197222,"10",2
"108",1,346.411569714768,"11",2
"938",2,641.206922368878,"11",2
"1770",3,604.228285961928,"11",2
"2602",4,414.674584418378,"11",2
"3433",5,302.441094235714,"11",2
"158",1,169.320904319272,"12",2
"992",2,154.658824753341,"12",2
"1824",3,207.18760909609,"12",2
"2656",4,324.016883635402,"12",2
"3488",5,368.629117828618,"12",2
"212",1,398.894155324855,"13",2
"1044",2,751.588773563475,"13",2
"1876",3,743.856560367144,"13",2
"2708",4,526.398568084382,"13",2
"3538",5,373.665281577801,"13",2
"262",1,187.487082741914,"14",2
"1094",2,489.766760674108,"14",2
"1925",3,572.797721232322,"14",2
"2758",4,484.280322402831,"14",2
"3592",5,489.539882515107,"14",2
"4",1,855.23499505386,"1",3
"835",2,1543.29473220683,"1",3
"1667",3,1112.4858982919,"1",3
"2497",4,495.800850133171,"1",3
"3329",5,236.416947638575,"1",3
"417",1,490.829856648488,"2",3
"1249",2,650.881808913468,"2",3
"2081",3,570.430628325995,"2",3
"2913",4,292.991720137776,"2",3
"3745",5,90.1169440499465,"2",3
"469",1,357.601916959263,"3",3
"1303",2,577.764698404126,"3",3
"2136",3,572.825913125952,"3",3
"2967",4,364.618569015718,"3",3
"3799",5,170.665757243665,"3",3
"523",1,496.518370629699,"4",3
"1353",2,830.046236564436,"4",3
"2185",3,620.212465978577,"4",3
"3017",4,298.302434722194,"4",3
"3849",5,145.393640366225,"4",3
"573",1,268.35138223148,"5",3
"1405",2,517.759700696009,"5",3
"2237",3,536.527369090981,"5",3
"3069",4,382.24344811611,"5",3
"3903",5,252.501762384552,"5",3
"628",1,406.540415555582,"6",3
"1459",2,674.23021291163,"6",3
"2291",3,653.798077832514,"6",3
"3123",4,376.287592751865,"6",3
"3953",5,149.277184440279,"6",3
"677",1,505.421267068962,"7",3
"1509",2,897.30012523818,"7",3
"2341",3,946.81492759296,"7",3
"3173",4,733.135030122164,"7",3
"4005",5,522.415429124968,"7",3
"729",1,423.918847115933,"8",3
"1561",2,788.156417737896,"8",3
"2395",3,799.162022673449,"8",3
"3228",4,498.210098979263,"8",3
"4058",5,241.472151030363,"8",3
"781",1,165.752163271932,"9",3
"1616",2,271.764852512082,"9",3
"2447",3,199.447295070891,"9",3
"3277",4,105.78112893347,"9",3
"4109",5,67.0622364145158,"9",3
"53",1,320.77610626602,"10",3
"885",2,677.43431623992,"10",3
"1717",3,643.513385447659,"10",3
"2549",4,420.699030752811,"10",3
"3381",5,304.935146411117,"10",3
"105",1,364.319235430663,"11",3
"939",2,654.360830075742,"11",3
"1771",3,594.93331047843,"11",3
"2603",4,395.857622680388,"11",3
"3436",5,283.50698680498,"11",3
"159",1,157.064241080273,"12",3
"989",2,155.395350267117,"12",3
"1821",3,195.676297572024,"12",3
"2653",4,288.509914101825,"12",3
"3485",5,358.153088419516,"12",3
"209",1,392.49100352565,"13",3
"1041",2,741.209886166434,"13",3
"1873",3,736.088137965885,"13",3
"2705",4,523.231069473079,"13",3
"3539",5,373.223394116934,"13",3
"263",1,182.395783110082,"14",3
"1095",2,467.958168576076,"14",3
"1928",3,537.518344225159,"14",3
"2759",4,446.337230777279,"14",3
"3589",5,443.127449994301,"14",3
"3",1,867.998050509021,"1",4
"833",2,1525.88107055325,"1",4
"1665",3,1071.70810240357,"1",4
"2498",4,466.029972191764,"1",4
"3330",5,217.231287065138,"1",4
"419",1,520.26006520824,"2",4
"1250",2,690.163264775937,"2",4
"2082",3,586.052147088772,"2",4
"2914",4,286.37707722085,"2",4
"3747",5,84.2744514666549,"2",4
"470",1,377.773649469376,"3",4
"1301",2,601.504719932129,"3",4
"2134",3,577.574832950752,"3",4
"2965",4,352.374448891472,"3",4
"3797",5,158.47063487023,"3",4
"521",1,495.297835710847,"4",4
"1354",2,818.074511186322,"4",4
"2186",3,605.439048534256,"4",4
"3019",4,289.087834457682,"4",4
"3850",5,139.999416312666,"4",4
"574",1,280.576989329718,"5",4
"1406",2,527.627858217159,"5",4
"2239",3,532.3913833345,"5",4
"3070",4,371.470435275363,"5",4
"3901",5,242.555535119496,"5",4
"626",1,437.288044100397,"6",4
"1457",2,710.307203984624,"6",4
"2289",3,660.907976630349,"6",4
"3121",4,368.277158511617,"6",4
"3954",5,146.261867155153,"6",4
"678",1,550.354395997111,"7",4
"1511",2,950.67045189039,"7",4
"2342",3,965.806477922704,"7",4
"3174",4,719.38715933669,"7",4
"4006",5,497.706633048367,"7",4
"731",1,460.158746361423,"8",4
"1562",2,840.035717973471,"8",4
"2393",3,830.472430796339,"8",4
"3226",4,499.124640654025,"8",4
"4057",5,231.086275590143,"8",4
"782",1,166.315279961828,"9",4
"1614",2,272.296754108248,"9",4
"2445",3,199.56272495177,"9",4
"3278",4,105.706880182119,"9",4
"4111",5,66.9346501936815,"9",4
"54",1,339.082561102038,"10",4
"886",2,693.878452668346,"10",4
"1718",3,639.586017003165,"10",4
"2551",4,408.178344667593,"10",4
"3382",5,290.917466340878,"10",4
"106",1,383.489452309605,"11",4
"937",2,669.217425705297,"11",4
"1769",3,585.388040077562,"11",4
"2601",4,376.647084789737,"11",4
"3434",5,265.332682424566,"11",4
"157",1,145.22537643389,"12",4
"990",2,156.675049704049,"12",4
"1823",3,184.418870003941,"12",4
"2654",4,253.809446482431,"12",4
"3486",5,342.363019084048,"12",4
"210",1,385.693998025589,"13",4
"1043",2,727.901154302158,"13",4
"1874",3,722.381447924291,"13",4
"2706",4,514.227996349272,"13",4
"3537",5,368.462141748933,"13",4
"261",1,176.704688495491,"14",4
"1093",2,443.496813590923,"14",4
"1926",3,498.341382577301,"14",4
"2757",4,404.806024702711,"14",4
"3590",5,393.15399810121,"14",4
"18",1,886.975147457852,"1",5
"853",2,1421.98870244574,"1",5
"1685",3,1003.50698842838,"1",5
"2516",4,440.47713706993,"1",5
