"","sizeclass","data","area","season"
"1",1,193.386680699916,"1",1
"836",2,366.013920123728,"1",1
"1668",3,277.600008388436,"1",1
"2499",4,130.402167369758,"1",1
"3331",5,65.5024429107419,"1",1
"418",1,104.929944431767,"2",1
"1251",2,140.171348111525,"2",1
"2083",3,130.698803517664,"2",1
"2915",4,75.1469673611861,"2",1
"3746",5,26.3572052474333,"2",1
"471",1,78.4045066605674,"3",1
"1304",2,131.472311087581,"3",1
"2135",3,137.376782008641,"3",1
"2968",4,94.0292503853707,"3",1
"3800",5,47.9731127608483,"3",1
"524",1,120.503504376686,"4",1
"1355",2,204.667301506931,"4",1
"2187",3,154.108362127013,"4",1
"3018",4,74.7844916346043,"4",1
"3851",5,37.142707960543,"4",1
"575",1,60.1639485673786,"5",1
"1407",2,122.260259140267,"5",1
"2238",3,132.328221815805,"5",1
"3071",4,97.4225283156666,"5",1
"3904",5,66.0356637224433,"5",1
"627",1,84.7904845711332,"6",1
"1460",2,147.913176046521,"6",1
"2292",3,155.084697527577,"6",1
"3124",4,96.0118199766102,"6",1
"3955",5,39.5614418503785,"6",1
"679",1,103.230135940324,"7",1
"1510",2,195.935203138272,"7",1
"2343",3,221.266759266866,"7",1
"3175",4,183.031227325503,"7",1
"4007",5,138.822943197363,"7",1
"730",1,87.2642990494087,"8",1
"1563",2,169.252714090664,"8",1
"2396",3,178.45784551983,"8",1
"3227",4,118.522613988054,"8",1
"4059",5,63.571487606512,"8",1
"784",1,40.0265521958809,"9",1
"1615",2,65.8064387724723,"9",1
"2448",3,48.4233083898404,"9",1
"3279",4,25.747023516257,"9",1
"4110",5,16.3621302808059,"9",1
"55",1,70.4836455277068,"10",1
"887",2,159.12401420176,"10",1
"1719",3,159.726523841868,"10",1
"2550",4,108.860097935133,"10",1
"3383",5,81.6132629232245,"10",1
"107",1,80.166543013161,"11",1
"940",2,153.075318100018,"11",1
"1772",3,148.984234298932,"11",1
"2604",4,105.117198215806,"11",1
"3435",5,78.2027784103891,"11",1
"160",1,44.1596514105634,"12",1
"991",2,37.5466183337497,"12",1
"1822",3,53.1501129584382,"12",1
"2655",4,87.1487759136771,"12",1
"3487",5,90.5508890426436,"12",1
"211",1,98.3554137048988,"13",1
"1042",2,184.316291230371,"13",1
"1875",3,181.002267257834,"13",1
"2707",4,127.106921353819,"13",1
"3540",5,89.763115500542,"13",1
"264",1,46.6037216282299,"14",1
"1096",2,123.394293281256,"14",1
"1927",3,146.272797935866,"14",1
"2760",4,125.34748637221,"14",1
"3591",5,128.429089975169,"14",1
"2",1,201.951592082744,"1",2
"834",2,373.561479005312,"1",2
"1666",3,276.298817671015,"1",2
"2500",4,126.356773642013,"1",2
"3332",5,61.7742857119845,"1",2
"420",1,112.072913611058,"2",2
"1252",2,148.954126782573,"2",2
"2084",3,134.696105599001,"2",2
"2916",4,73.0457069781337,"2",2
"3748",5,23.8167943583885,"2",2
"472",1,82.4241076413424,"3",2
"1302",2,135.487257055165,"3",2
"2133",3,138.198233456614,"3",2
"2966",4,91.4294577782915,"3",2
"3798",5,44.6380493502037,"3",2
"522",1,120.709935402267,"4",2
"1356",2,203.704499368241,"4",2
"2188",3,153.107158309874,"4",2
"3020",4,74.0433462946992,"4",2
"3852",5,36.3932039274113,"4",2
"576",1,62.5310023526504,"5",2
"1408",2,123.818945243238,"5",2
"2240",3,131.366762447416,"5",2
"3072",4,95.2954261560223,"5",2
"3902",5,63.7409264594935,"5",2
"625",1,91.6076693511386,"6",2
"1458",2,155.585186677124,"6",2
"2290",3,157.029176631451,"6",2
"3122",4,93.6105368690643,"6",2
"3956",5,37.5826069517481,"6",2
"680",1,112.627027612218,"7",2
"1512",2,206.3346100885,"7",2
"2344",3,225.583691823713,"7",2
"3176",4,180.931011536457,"7",2
"4008",5,132.951470118458,"7",2
"732",1,94.8113207048806,"8",2
"1564",2,179.875247166994,"8",2
"2394",3,186.381263124198,"8",2
"3225",4,120.154130801543,"8",2
"4060",5,61.1698938224536,"8",2
"783",1,40.1477300511737,"9",2
"1613",2,65.9175972762487,"9",2
"2446",3,48.4419950482941,"9",2
"3280",4,25.7249202662467,"9",2
"4112",5,16.3285516949983,"9",2
"56",1,73.9720952864129,"10",2
"888",2,161.435191459484,"10",2
"1720",3,157.797657963791,"10",2
"2552",4,105.461223624108,"10",2
"3384",5,77.746701386925,"10",2
"108",1,84.1780114406886,"11",2
"938",2,155.813282135637,"11",2
"1770",3,146.827473488749,"11",2
"2602",4,100.765924013666,"11",2
"3433",5,73.4931858992784,"11",2
"158",1,41.144979749583,"12",2
"992",2,37.5820944150618,"12",2
"1824",3,50.3465890103499,"12",2
"2656",4,78.7361027234027,"12",2
"3488",5,89.5768756323541,"12",2
"212",1,96.9312797439397,"13",2
"1044",2,182.636071975924,"13",2
"1876",3,180.757144169216,"13",2
"2708",4,127.914852044505,"13",2
"3538",5,90.8006634234057,"13",2
"262",1,45.559361106285,"14",2
"1094",2,119.013322843808,"14",2
"1925",3,139.189846259454,"14",2
"2758",4,117.680118343888,"14",2
"3592",5,118.958191451171,"14",2
"4",1,207.822103798088,"1",3
"835",2,375.02061992626,"1",3
"1667",3,270.334073284933,"1",3
"2497",4,120.47960658236,"1",3
"3329",5,57.4493182761736,"1",3
"417",1,119.271655165583,"2",3
"1249",2,158.164279565973,"2",3
"2081",3,138.614642683217,"2",3
"2913",4,71.1969879934796,"2",3
"3745",5,21.898417404137,"2",3
"469",1,86.8972658211009,"3",3
"1303",2,140.396821712203,"3",3
"2136",3,139.196696889606,"3",3
"2967",4,88.6023122708196,"3",3
"3799",5,41.4717790102107,"3",3
"523",1,120.653964063017,"4",3
"1353",2,201.701235485158,"4",3
"2185",3,150.711629232794,"4",3
"3017",4,72.4874916374931,"4",3
"3849",5,35.3306546089928,"4",3
"573",1,65.2093858822496,"5",3
"1405",2,125.81560726913,"5",3
"2237",3,130.376150689108,"5",3
"3069",4,92.8851578922147,"5",3
"3903",5,61.3579282594462,"5",3
"628",1,98.7893209800065,"6",3
"1459",2,163.837941737526,"6",3
"2291",3,158.872932913301,"6",3
"3123",4,91.4378850387033,"6",3
"3953",5,36.2743558189877,"6",3
"677",1,122.817367897758,"7",3
"1509",2,218.043930432878,"7",3
"2341",3,230.076027405089,"7",3
"3173",4,178.151812319686,"7",3
"4005",5,126.946949277367,"7",3
"729",1,103.012279849172,"8",3
"1561",2,191.522009510309,"8",3
"2395",3,194.196371509648,"8",3
"3228",4,121.065054051961,"8",3
"4058",5,58.6777327003782,"8",3
"781",1,40.2777756750796,"9",3
"1616",2,66.038859160436,"9",3
"2447",3,48.4656927022265,"9",3
"3277",4,25.7048143308331,"9",3
"4109",5,16.2961234487273,"9",3
"53",1,77.9485938226429,"10",3
"885",2,164.616538846301,"10",3
"1717",3,156.373752663781,"10",3
"2549",4,102.229864472933,"10",3
"3381",5,74.0992405779015,"10",3
"105",1,88.529574209651,"11",3
"939",2,159.009681708405,"11",3
"1771",3,144.568794446258,"11",3
"2603",4,96.1934023113344,"11",3
"3436",5,68.8921977936102,"11",3
"159",1,38.1666105825063,"12",3
"989",2,37.7610701149095,"12",3
"1821",3,47.5493403100017,"12",3
"2653",4,70.1079091267436,"12",3
"3485",5,87.0312004859424,"12",3
"209",1,95.3753138567331,"13",3
"1041",2,180.114002338443,"13",3
"1873",3,178.86941752571,"13",3
"2705",4,127.145149881958,"13",3
"3539",5,90.693284770415,"13",3
"263",1,44.32217529575,"14",3
"1095",2,113.713834963986,"14",3
"1928",3,130.616957646714,"14",3
"2759",4,108.459947078879,"14",3
"3589",5,107.679970348615,"14",3
"3",1,210.923526273692,"1",4
"833",2,370.789100144439,"1",4
"1665",3,260.425068884068,"1",4
"2498",4,113.245283242599,"1",4
"3330",5,52.7872027568284,"1",4
"419",1,126.423195845602,"2",4
"1250",2,167.709673340553,"2",4
"2082",3,142.410671742572,"2",4
"2914",4,69.5896297646666,"2",4
"3747",5,20.4786917063972,"2",4
"470",1,91.7989968210584,"3",4
"1301",2,146.165646943507,"3",4
"2134",3,140.350684407033,"3",4
"2965",4,85.6269910806276,"3",4
"3797",5,38.5083642734658,"3",4
"521",1,120.357374077736,"4",4
"1354",2,198.792106218276,"4",4
"2186",3,147.121688793824,"4",4
"3019",4,70.2483437732167,"4",4
"3850",5,34.0198581639778,"4",4
"574",1,68.1802084071214,"5",4
"1406",2,128.21356954677,"5",4
"2239",3,129.371106150284,"5",4
"3070",4,90.2673157719132,"5",4
"3901",5,58.9409950340374,"5",4
"626",1,106.260994716397,"6",4
"1457",2,172.604650568264,"6",4
"2289",3,160.600638321175,"6",4
"3121",4,89.4913495183228,"6",4
"3954",5,35.5416337187022,"6",4
"678",1,133.736118227298,"7",4
"1511",2,231.012919809365,"7",4
"2342",3,234.690974135217,"7",4
"3174",4,174.811079718816,"7",4
"4006",5,120.942711830753,"7",4
"731",1,111.818575365826,"8",4
"1562",2,204.128679467554,"8",4
"2393",3,201.80480068351,"8",4
"3226",4,121.287287678928,"8",4
"4057",5,56.1539649684047,"8",4
"782",1,40.4146130307241,"9",4
"1614",2,66.1681112483042,"9",4
"2445",3,48.4937421632802,"9",4
"3278",4,25.6867718842549,"9",4
"4111",5,16.2651199970646,"9",4
"54",1,82.3970623477953,"10",4
"886",2,168.612463998408,"10",4
"1718",3,155.419402131769,"10",4
"2551",4,99.187337754225,"10",4
"3382",5,70.6929443208334,"10",4
"106",1,93.1879369112341,"11",4
"937",2,162.619834446387,"11",4
"1769",3,142.249293738848,"11",4
"2601",4,91.525241603906,"11",4
"3434",5,64.4758418291696,"11",4
"157",1,35.2897664734353,"12",4
"990",2,38.0720370780839,"12",4
"1823",3,44.8137854109578,"12",4
"2654",4,61.6756954952306,"12",4
"3486",5,83.1942136374236,"12",4
"210",1,93.723641520218,"13",4
"1043",2,176.879980495424,"13",4
"1874",3,175.538691845603,"13",4
"2706",4,124.957403112873,"13",4
"3537",5,89.5363004449906,"13",4
"261",1,42.9392393044043,"14",4
"1093",2,107.769725702594,"14",4
"1926",3,121.096955966284,"14",4
"2757",4,98.3678640027587,"14",4
"3590",5,95.536421538594,"14",4
"18",1,215.534960832258,"1",5
"853",2,345.543254694314,"1",5
"1685",3,243.852198188096,"1",5
"2516",4,107.035944307993,"1",5
"3348",5,47.9071797611751,"1",5
"435",1,136.079365769944,"2",5
"1268",2,169.631945257367,"2",5
